SegmentID	Audience	Q1	Q2	Q3	Q4
S248	SmallGroup	What insights are given?	How does the text frame perseverance?	Where do you feel outmatched?	What steady prayer will you keep?
S249	SmallGroup	What signs of love appear?	What does unfaithfulness cost?	Where do lesser loves pull you?	What turn-back step will you take?
S250	SmallGroup	What repeated calls appear?	What promises meet repentance?	Where do you need to return?	What practical step will you take?
S251	SmallGroup	What images portray this Day?	What responses are called for?	Where do you need wholehearted return?	What concrete repentance will you practice?
S252	SmallGroup	What injustices are named?	What does God require instead?	Where can you do right?	What just action will you share next week?
S253	SmallGroup	What visions does Amos receive?	What hope remains?	Where do you need both?	What one step will you take?
S254	SmallGroup	What is Edom judged for?	What warning about gloating?	Where might you celebrate falls?	What humble compassion will you show?
S255	SmallGroup	What surprises you most?	What does God's mercy reveal?	Who is hard to view with mercy?	What merciful act will you extend?
S256	SmallGroup	What charges appear?	What does God require?	Where can you do justice?	What humble, concrete act will you take?
S257	SmallGroup	What laments and promises appear?	What future hope is offered?	Where do you need hope?	What short prayer will you speak daily?
S258	SmallGroup	What picture of justice appears?	What comfort is offered?	Where do you long for justice?	What faith-anchored step will you practice?
S259	SmallGroup	What questions mark the dialogue?	What does faith look like here?	Where will you trust without clarity?	What rejoice-in-waiting practice will you adopt?
S260	SmallGroup	What warnings and songs appear?	What hope for the humble?	Where do you need both?	What seeking-the-Lord step will you take?
S261	SmallGroup	What priorities are confronted?	What promise to rebuilders?	Where have you delayed?	What first rebuilding step will you log?
S262	SmallGroup	What visions encourage?	What do they imply?	Where do you need encouragement?	What service will you do with dependence?
S263	SmallGroup	What questions are addressed?	What kind of community promised?	Where can you practice both?	What peacemaking choice will you make?
S264	SmallGroup	What is said about the King?	What responses appear?	Where do you welcome His rule?	What allegiance step will you take?
S265	SmallGroup	What questions does God raise?	What issues are confronted?	Where do you need renewal?	What one change will you implement?
S266	SmallGroup	What beginnings appear?	What does Jesus announce?	Where do you sense a call?	What first obedience will you practice?
S267	SmallGroup	Which teachings challenge most?	What picture of righteousness?	Where should these reshape practice?	What specific practice will you start?
S268	SmallGroup	What signs and responses appear?	What do you learn about authority?	Where do you need trust?	What act of trust will you take?
S269	SmallGroup	Which parables stand out?	What do they reveal?	Where do you see potential?	What faithful seed will you plant?
S270	SmallGroup	What conflicts appear?	What do you observe?	Where is following costly?	What step will you take anyway?
S271	SmallGroup	Which teachings stand out?	What do they show?	Where would these change situations?	What concrete step will you take?
S272	SmallGroup	What encounters mark approach?	What do these reveal?	Where is Jesus confronting comfort?	What specific obedience will you do?
S273	SmallGroup	What responses to Jesus appear?	What does this reveal about authority?	Where do you need to welcome His authority?	What honoring action will you take?
S274	SmallGroup	Which warnings or hopes strike you?	What do they teach about readiness?	Where are you distracted?	What watchful habit will you begin?
S275	SmallGroup	What moments move the story?	What do they show about love?	Where is loyalty costly?	What loyal action will you take?
S276	SmallGroup	Which details stand out?	What do they declare?	Where do you need resurrection hope?	What witness or act will you take?
S277	SmallGroup	What starts Jesus' ministry?	What do you learn about the gospel?	Where do you need good news?	What response will you make?
S278	SmallGroup	What needs does Jesus meet?	What does this model?	Where can you serve concretely?	What specific service will you schedule?
S279	SmallGroup	What tensions arise?	What do you learn about opposition?	Where might service draw criticism?	What humble step will you take?
S280	SmallGroup	What confessions appear?	What does following Him mean?	Where do you resist the cross?	What surrender step will you take?
S281	SmallGroup	Which teachings challenge ambition?	What does true greatness look like?	Where could humility bless others?	What serving choice will you make?
S282	SmallGroup	What questions or traps appear?	How does Jesus answer?	Where do you need wisdom?	What preparation will help you?
S283	SmallGroup	Which failures do you notice?	What does this show about weakness?	Where are you vulnerable?	What guard will you put in place?
S284	SmallGroup	What scenes of injustice stand out?	What does the cross call you to?	Where do you need courage?	What bold step will you take?
S285	SmallGroup	What surprises appear?	What do they show about timing?	Where do you need trust?	What act of faith will you take?
S286	SmallGroup	What preparations do you see?	What do they teach?	Where is preparation needed?	What practice will you adopt?
S287	SmallGroup	What calls stand out?	What do they show about following?	Where is He calling you?	What follow step will you take?
S288	SmallGroup	What links between faith and healing?	What does Jesus notice?	Where will you reach out?	What prayer will you bring daily?
S289	SmallGroup	What milestones close this phase?	What expectations for disciples?	Where can you apply learning?	What action will you take?
S290	SmallGroup	What choices show resolve?	What does discipleship cost?	Where do you need focus?	What distraction will you lay down?
S291	SmallGroup	Which teachings challenge comfort?	What do they say about priorities?	Where do priorities need shifting?	What first change will you implement?
S292	SmallGroup	What parable or healing strikes you?	What truth about the kingdom?	Where do you see this truth?	What act will live it out?
S293	SmallGroup	What habits are commended?	What obstacles warned against?	Which habit do you need?	What step will you take?
S294	SmallGroup	What do you notice about mercy?	What does Jesus look for?	Where do you need renewal?	What prayer will you add?
S295	SmallGroup	What responses appear?	What does His authority challenge?	Where is He challenging you?	What obedient step will you take?
S296	SmallGroup	What warnings were missed?	What does this reveal?	Where do you need watchfulness?	What practical watch will you keep?
S297	SmallGroup	What moved you most?	What does resurrection call for?	Where will you live differently?	What witness will you share?
S298	SmallGroup	What titles describe Jesus?	How do the first disciples respond?	Where do you need fresh encounter?	What step will you take?
S299	SmallGroup	What signs or conversations stand out?	What do they reveal?	Where do you need transformation?	What request will you bring daily?
S300	SmallGroup	What patterns connect these signs?	What do they say about fear?	Where are you hungry or afraid?	What trust step will you take?
S301	SmallGroup	What debates arise?	What does Jesus reveal?	Where do you need to take a stand?	What commitment will you make?
S302	SmallGroup	What changes in the healed person?	What do leaders' reactions reveal?	Where do opinions pressure you?	What faithful action will you take?
S303	SmallGroup	What emotions surround this sign?	What does Jesus show?	Where do you need comfort?	What prayer will you ask Him to answer?
S304	SmallGroup	What act of service stands out?	What does Jesus teach?	Where can you serve unseen?	What service will you do?
S305	SmallGroup	What images of abiding speak to you?	What does fruitfulness look like?	Where do you need to remain?	What daily practice will help?
S306	SmallGroup	What injustices appear?	What does Jesus' sacrifice mean?	Where do you need to rest in finished work?	What gratitude response will you practice?
S307	SmallGroup	What proofs are recorded?	What mission is given?	Where can you witness?	What next step will you take?
S308	SmallGroup	What happens when the Spirit comes?	What does this mean for boldness?	Where do you need Spirit courage?	What prayer for power will you pray?
S309	SmallGroup	What tensions rise?	How do believers respond?	Where do you need courage?	What bold, respectful step will you take?
S310	SmallGroup	What ministries multiply?	What do you learn from Stephen?	Where can you serve despite resistance?	What steady act will you continue?
S311	SmallGroup	What changes in Saul's direction?	What does this show about grace?	Where could God be turning you?	What step will you take?
S312	SmallGroup	What barriers are crossed?	What does God show about inclusion?	Who is outside your circle?	What welcome step will you take?
S313	SmallGroup	What patterns of response appear?	What keeps the team focused?	Where do you need endurance?	What practice will you use?
S314	SmallGroup	What problem is resolved?	What does the decision say?	Where do you add unnecessary burdens?	What freeing step will you take?
S315	SmallGroup	What new doors show up?	What does guidance look like?	Where do you need guidance?	What step will you take?
S316	SmallGroup	What growth and conflicts appear?	What do you notice about change?	Where do you need deeper learning?	What step will you take?
S317	SmallGroup	What leads to Paul's arrest?	What does courage look like?	Where could you speak truth?	What words will you prepare?
S318	SmallGroup	What hearings occur?	What does Paul model?	Where do you need gentle words?	What respectful response will you give?
S319	SmallGroup	What crises happen?	What does leadership look like?	Where are you weathering storms?	What stabilizing step will you take?
S320	SmallGroup	What problem is described?	What does this mean for everyone?	Where do you see this reality?	What honest step will you take?
S321	SmallGroup	What good news is announced?	What does faith do that law cannot?	Where do you try to earn grace?	What trust step will you take?
S322	SmallGroup	What changes with Spirit-life?	What hope is given?	Where do you need help?	What simple prayer will you pray daily?
S323	SmallGroup	What story of mercy unfolds?	What does this say about God's plan?	Where do you need humility?	What worship response will you bring?
S324	SmallGroup	What marks transformation?	What does love look like practically?	Where can you offer this love?	What act will you choose?
S325	SmallGroup	What relationships do you notice?	What do these greetings reveal?	Who helps you follow faithfully?	How will you thank them?
S326	SmallGroup	What problems are addressed?	What does unity rest on?	Where do you need humility?	What unity step will you take?
S327	SmallGroup	What guidance appears?	What principles stand out?	Where do you need relationship wisdom?	What boundary will you keep?
S328	SmallGroup	What does Paul teach about freedom?	How should freedom be used?	Where do you need self-control?	What loving choice will you make?
S329	SmallGroup	What do you learn about worship?	What guides the church?	Where can you build others up?	What encouraging word will you speak?
S330	SmallGroup	What hope does resurrection secure?	How does that shape work?	Where do you need resurrection perspective?	What generous act will you plan?
S331	SmallGroup	What hardships are named?	What does ministry through weakness look like?	Where do you need comfort?	What step will you take in dependence?
S332	SmallGroup	What treasure in jars of clay?	What does grace change?	Where do you need reconciliation?	What move toward grace will you make?
S333	SmallGroup	What examples stand out?	What principles guide giving?	Where can you share to meet needs?	What gift will you prepare?
S334	SmallGroup	What marks distinguish servants?	What warnings appear?	Where do appearances mislead?	What test will you use?
S335	SmallGroup	What story does Paul tell?	What does this show about grace?	Where do you rest in approval?	What truth will you hold?
S336	SmallGroup	What is the gospel's core?	What fruit should follow?	Where do you want fruit?	What step will you take?
S337	SmallGroup	What blessings are listed?	What does adoption mean?	Where do you forget identity?	What reminder will you carry?
S339	SmallGroup	What themes of joy appear?	What practices fight anxiety?	Where can you choose joy?	What habit will help you rejoice?
S340	SmallGroup	What does Paul say about supremacy?	What changes when Christ is center?	Where are you pulled off center?	What Christ-centered step will you take?
S341	SmallGroup	What hopes and commands shape waiting?	What does holy living look like?	Where do you need hope?	What step will help you stay awake?
S342	SmallGroup	What confusions are corrected?	What steadiness does Paul call for?	Where do rumors unsettle faith?	What grounding truth will you repeat?
S343	SmallGroup	What instructions stand out?	What example should leaders set?	Where can you be faithful with small things?	What step will you take to serve steadily?
S344	SmallGroup	What charges and comforts stand out?	What does finishing involve?	Where do you need endurance?	What practice will help you finish well?
S345	SmallGroup	What truths are emphasized?	What does grace train us to do?	Where do you need grace for change?	What good work will you devote to?
S346	SmallGroup	What requests does Paul make?	What does gospel reconciliation look like?	Where do you need repair?	What first step will you take?
S347	SmallGroup	What comparisons elevate Jesus?	What warnings urge listening?	Where have you drifted?	What response of faith will you make?
S348	SmallGroup	What kind of priest is Jesus?	What hope comes from intercession?	Where do you need help?	What prayer will you bring with confidence?
S349	SmallGroup	What makes the new covenant better?	What does Christ's sacrifice accomplish?	Where do you carry guilt?	What truth will you rest in?
S350	SmallGroup	What examples inspire you?	What does running the race require?	What slows you down?	What will you lay aside?
S351	SmallGroup	What contrasts mark old and new?	What practices are urged?	Where do you need peace and purity?	What step will you take?
S352	SmallGroup	What links between faith and works?	What do you learn about speech?	Where do you need faith in action?	What work of love will you do?
S353	SmallGroup	What encouragements appear?	What hope anchors believers?	Where do you need courage?	What gentle answer will you give?
S354	SmallGroup	What warnings are given?	What hope points to patience?	Where do you need diligence and hope?	What step will help you grow?
S355	SmallGroup	What tests are given?	What does walking in light look like?	Where do you need assurance or repentance?	What step will you take toward light?
S356	SmallGroup	What danger is warned about?	What does faithful love look like?	Where do you need to guard?	What boundary will you set?
S357	SmallGroup	What problem is addressed?	What does honest hospitality look like?	Who could you welcome?	What act of hospitality will you do?
S358	SmallGroup	What threats are highlighted?	What must believers build up in?	Where do you need mercy and vigilance?	What step will help you contend well?
S359	SmallGroup	What strengths and weaknesses are named?	What calls stand out?	Which message speaks most to you?	What response will you make?
S360	SmallGroup	What visions do you notice?	What hope do the sealed receive?	Where do you need endurance?	What prayer will keep you steady?
S361	SmallGroup	What warnings unfold?	What response is God seeking?	Where do you need to turn from compromise?	What repentance step will you take?
S362	SmallGroup	What symbols appear?	What do they teach about endurance?	Where do you feel worn out?	What practice will renew strength?
S363	SmallGroup	What scenes of judgment appear?	What do they reveal about justice?	Where do you long for justice?	What trust will you hold?
S364	SmallGroup	What contrasts appear?	What warnings are given?	Where are you drawn to Babylon-like habits?	What break will you make?
S365	SmallGroup	What images of new creation move you?	What promises anchor hope?	Where do you need hope today?	What step will help you live as a citizen of that city?
