SegmentID	Audience	Q1	Q2	Q3	Q4
S252	School	Can you worship God and hurt people?	Which matters more - rituals or relationships?	Where can you do right for someone overlooked?	What just action will you take this week?
S253	School	Is there hope after judgment?	What survives God's anger?	Where do you need both truth and hope?	What step will you take to seek both?
S254	School	Is it wrong to be happy when enemies fall?	What's the difference between justice and revenge?	Where might you celebrate another's fall?	What humble compassion will you show instead?
S255	School	Would you run from God's call?	Can God use reluctant prophets?	Who is hard for you to show mercy to?	What merciful step will you take this week?
S256	School	What does God actually want from us?	Is it really that simple?	Where can you do justice and love mercy?	What humble step will you take this week?
S257	School	Can you trust God when He seems silent?	Where is hope when everything's dark?	Where do you need that hope today?	What prayer of hope will you pray this week?
S258	School	Does God care about bullies?	Will evil people really pay?	Where do you long for God to set things right?	What faithful trust will you practice today?
S259	School	Is it okay to argue with God?	What if God's answers don't satisfy?	Where will you choose faith when answers delay?	What practice will help you rejoice in waiting?
S260	School	Who is the remnant?	Are you part of God's remnant?	Where do you need humility and courage together?	What seeking step will you take this week?
S261	School	Why did rebuilding matter so much?	What needs rebuilding in your life?	Where have you delayed good work you should do?	What first step will you take to rebuild?
S262	School	Do small beginnings matter?	Can our little efforts make a difference?	Where do you need fresh encouragement to serve?	What act of service will you do this week?
S263	School	What's better - fasting or justice?	Can you be religious and mean?	Where can you practice truth and peace?	What peacemaking choice will you make?
S264	School	What kind of king do you want?	Why do we need a perfect king?	Where do you welcome Jesus' gentle rule?	What allegiance step will you take this week?
S265	School	What questions is God asking you?	Are you giving God leftovers?	Where do you need a fresh heart in worship?	What change will you make before next week?
S266	School	If you were there, would you follow Jesus?	What's so different about His kingdom?	Where do you need to repent and follow?	What first step of obedience will you take?
S267	School	Which teaching hits hardest?	Could you actually live this way?	Where do you need to live this at school?	What practice will you start this week?
S268	School	Which miracle would you want to see?	Why did some people still doubt?	Where do you need to trust Jesus' authority?	What act of trust will you take this week?
S269	School	Which story makes the kingdom clearest?	Why teach in parables?	Where do you see small beginnings with big potential?	What faithful seed will you plant this week?
S270	School	Why did religious people hate Jesus?	When does doing right make enemies?	Where is it hard to follow Jesus right now?	What step will you take to follow anyway?
S271	School	Which value would change your school most?	How counter-cultural is Jesus?	Where do you need these values at school?	What step will you take to practice them?
S272	School	What would you give up to follow Jesus?	Is anything too precious to surrender?	Where is Jesus asking you to trust Him?	What step of obedience will you take?
S273	School	How would you have welcomed Jesus?	Do we recognize authority when we see it?	Where will you welcome His authority this week?	What act of honor will you offer Him?
S274	School	Which warning or hope grabbed you?	Are you ready for Jesus to return?	Where do you feel unprepared or distracted?	What watchful habit will you begin?
S275	School	Which moment in Jesus' final days hit hardest?	Could you stay loyal when everyone runs?	Where is it hard to stay loyal to Jesus?	What loyal step will you take today?
S276	School	If you'd been there, would you believe?	What makes resurrection hard to accept?	Where do you need resurrection hope now?	What witness will you share this week?
S277	School	Which of Jesus' first actions surprises you?	Why start with ordinary people?	Where do you need good news today?	What response will you make now?
S278	School	Which need would you want Jesus to meet?	Why did Jesus help so many people?	Who near you needs quiet help?	What act of service will you do this week?
S279	School	Would you follow Jesus if it cost popularity?	Why does doing good create enemies?	Where might faithful service draw criticism?	What humble step will you take even if it costs?
S280	School	Could you carry a cross for Jesus?	What's the hardest part of following Him?	Where do you resist the way of the cross?	What surrender step will you take this week?
S281	School	How would your school define greatness?	What makes someone truly great?	Where could taking a lower place bless others?	What serving choice will you make this week?
S282	School	How would you answer Jesus' critics?	Why do religious people often miss God?	Where do you need wise words under pressure?	What preparation will help you answer well?
S283	School	Which disciple's failure hits closest to home?	Why do we fail when pressure comes?	Where are you vulnerable to fear-driven choices?	What guard of prayer will you put in place?
S284	School	Which part of the crucifixion story hurts most?	Why did Jesus have to die?	Where do you need courage because He lives?	What bold next step will you take this week?
S285	School	Which birth announcement would you want to hear?	Why did God come as a baby?	Where do you need to trust God's timing?	What small act of faith will you take?
S286	School	Would you recognize Jesus if you met Him?	How do we prepare to meet God?	Where is quiet preparation needed in your life?	What practice will ready your heart?
S287	School	Which call would be hardest to accept?	What does following Jesus cost?	Where is He calling you to leave something?	What concrete follow step will you take?
S288	School	Which person's faith impresses you most?	What does Jesus respond to in people?	Where will you reach out in faith this week?	What specific prayer will you bring to Jesus?
S289	School	If Jesus sent you out, would you go?	What does Jesus expect from followers?	Where can you put learning into practice?	What action will you take this week?
S290	School	Could you be as determined as Jesus?	What does holy determination look like?	Where do you need focused resolve today?	What distraction will you lay down?
S291	School	Which teaching challenges you most?	Why does Jesus care about our priorities?	Where do priorities need rearranging?	What first change will you make?
S292	School	Which story or healing speaks to you?	What does the kingdom look like in action?	Where do you see that truth in daily life?	What small act will live it out?
S293	School	Which habit of faith seems hardest?	What obstacles trip us up most?	Which habit do you need most now?	What step will you take to grow it?
S294	School	How does Jesus treat outsiders?	Why does Jesus care about the forgotten?	Where do you need a fresh heart today?	What prayer will you make this week?
S295	School	How would you have reacted to Jesus' arrival?	Why did some welcome and others reject?	Where is Jesus challenging your comfort?	What obedient step will you take?
S296	School	Which disciple's failure feels most relatable?	Why do we fail when pressure comes?	Where do you need watchfulness in temptation?	What practical watch will you keep?
S297	School	What would convince you Jesus is alive?	How does resurrection change everything?	Where will you live differently because He rose?	What witness will you share soon?
S298	School	Which description of Jesus stands out?	Why so many names for one person?	Where do you need to "come and see" again?	What step will you take toward Jesus?
S299	School	Which conversation would you want to overhear?	How does Jesus change people?	Where do you need transformation today?	What request will you bring to Him?
S300	School	Which miracle would you want to witness?	Why do we still struggle with fear?	Where are you hungry or afraid now?	What trust step will you take?
S301	School	Would you defend Jesus if it cost you?	Why do people argue about Jesus?	Where do you need to take a stand on Jesus?	What confession will you make this week?
S302	School	Which character in the story do you relate to?	Why do religious people often miss God?	Where do others' opinions pressure your choices?	What faithful action will you take anyway?
S303	School	If Jesus could raise someone you love, who would it be?	Why does Jesus weep if He knows the ending?	Where do you need His comfort or power?	What prayer will you ask Him to answer?
S304	School	Could you wash someone's dirty feet?	Why does serving feel so awkward?	Where can you serve without being noticed?	What unseen service will you do this week?
S305	School	What does it mean to "abide" in Jesus?	How connected are you to the vine?	Where do you need to remain in Jesus this week?	What daily practice will help you abide?
S306	School	Which moment at the cross is hardest to face?	Why did Jesus have to die?	Where do you need to rest in His finished work?	What gratitude
S307	School	Which resurrection proof convinces you most?	What mission does Jesus give His followers?	Where can you be a witness this week?	What next step will you take today?
S308	School	How would you feel if the Spirit came on you?	What changes when God's Spirit arrives?	Where do you need Spirit-given courage now?	What prayer for power will you pray daily?
S309	School	Would you keep preaching if threatened?	Why does the gospel create opposition?	Where do you need courage to obey God?	What bold step will you take this week?
S310	School	Which ministry story inspires you most?	What does Stephen's witness teach about courage?	Where can you serve despite pushback?	What steady act will you continue this week?
S311	School	How completely did Paul's life change?	Can anyone be too far gone for God?	Where could God be turning you around?	What step will you take in that new direction?
S312	School	Why was it so hard to accept non-Jews?	What barriers do we create in the church?	Who is outside your usual circle now?	What welcome step will you take toward them?
S313	School	How did they keep going when people hated them?	What keeps missionaries motivated?	Where do you need endurance in serving?	What practice will help you keep going?
S314	School	Should new Christians follow all the old rules?	What's essential versus optional in faith?	Where do you add burdens God doesn't?	What freeing step will you take?
S315	School	How do you know where God wants you to go?	What does guidance look like on the move?	Where do you need guidance right now?	What step will you take with the light you have?
S316	School	Which conflict in the church surprises you?	How do you handle disagreement in Christian community?	Where do you need deeper learning or repentance?	What step will you take to grow?
S317	School	Would you defend your faith if arrested?	How do you speak truth under pressure?	Where could you speak truth under pressure?	What words will you prepare in prayer?
S318	School	How would you defend Christianity to a judge?	What makes a good witness for Jesus?	Where do you need gentle, clear words now?	What respectful response will you give?
S319	School	Would you trust God in a shipwreck?	How do you lead when everything's falling apart?	Where are you weathering a storm now?	What stabilizing step will you take?
S320	School	Do you think you're basically good?	What's the real problem with humanity?	Where do you see this reality around you?	What honest step toward God will you take?
S321	School	What's the difference between earning and receiving?	Why can't good works save us?	Where do you try to earn what God gives?	What trust step will you take today?
S322	School	What's different about life with the Spirit?	How does the Spirit help us?	Where do you need the Spirit's help now?	What simple prayer will you pray each day?
S323	School	Why did God choose Israel if they kept messing up?	How does God's mercy work in history?	Where do you need humility in God's story?	What worship response will you bring?
S324	School	What does a transformed life actually look like?	How does love show up in daily choices?	Where can you offer this kind of love?	What act of love will you choose?
S325	School	Which person mentioned would you want to meet?	What makes Christian community work?	Who helps you follow Jesus faithfully now?	How will you thank or support them?
S326	School	Which church problem sounds most familiar?	What does real unity require?	Where do you need to lay aside pride today?	What step will build unity this week?
S327	School	How do you honor others in relationships?	What boundaries protect love?	Where do you need wisdom in relationships now?	What boundary will you keep this week?
S328	School	When should you limit your freedom for others?	How does love shape our choices?	Where do you need self-control for someone's good?	What choice will you make out of love?
S329	School	What makes worship gatherings work well?	How can you build others up when you meet?	Where can you build others up when you meet?	What encouraging word will you speak?
S330	School	How does resurrection hope change daily life?	Why does the resurrection matter for everything?	Where do you need a resurrection perspective now?	What generous act will you plan?
S331	School	How do you serve when you feel weak?	What does ministry through weakness look like?	Where do you need comfort to keep serving?	What step will you take in dependence on God?
S332	School	What treasure do you carry in your clay jar?	How does grace change relationships?	Where do you need to forgive or reconcile?	What move toward grace will you make?
S333	School	Which example of giving inspires you?	What motivates cheerful giving?	Where can you share to meet a need now?	What gift will you prepare this week?
S334	School	How can you tell real from fake spiritual leaders?	What red flags should you watch for?	Where do appearances mislead you today?	What test will you use before trusting a voice?
S335	School	What's Paul's story of how he became a Christian?	Why does grace matter more than earning?	Where do you rest in approval more than grace?	What truth will you hold this week?
S336	School	What's at the core of the gospel?	What fruit should follow faith in Christ?	Where do you want to see this fruit grow?	What step will you take to walk by the Spirit?
S337	School	Which blessing in Christ means most to you?	What does being God's child change?	Where do you forget your true identity?	What reminder will you carry this week?
S338	School	Which old way needs to go?	What new way will you put on?	Where do you need renewal in speech or habits?	What new way will you put on this week?
S339	School	What makes you most anxious?	How do joy and unity fight anxiety?	Where can you choose joy in your routine?	What habit will help you rejoice daily?
S340	School	What would change if Jesus was truly supreme in your life?	How does Christ-centeredness look different?	Where are you pulled off center now?	What Christ-centered step will you take?
S341	School	How do you stay faithful while waiting?	What does holy living look like while waiting?	Where do you need hope for perseverance?	What step will help you stay awake to God?
S342	School	Which rumor or confusion troubles you most?	What keeps you steady when others panic?	Where do rumors unsettle your faith now?	What grounding truth will you repeat?
S343	School	Which instruction to Timothy speaks to you?	What example should young leaders set?	Where can you be faithful with small things?	What step will you take to serve steadily?
S344	School	Which charge or comfort hits hardest?	What does finishing the race involve?	Where do you need endurance today?	What practice will help you finish well?
S345	School	How does grace train us to live?	What good works flow from salvation?	Where do you need grace to change a habit?	What good work will you devote to this week?
S346	School	Would you forgive someone who stole from you?	What does gospel reconciliation look like?	Where do you need to repair a relationship?	What first step will you take?
S347	School	Why is Jesus better than angels?	What happens when we drift from His voice?	Where have you drifted from His voice?	What response of faith will you make today?
S348	School	What kind of priest do you need?	How does Jesus' intercession help you?	Where do you need His help right now?	What prayer will you bring with confidence?
S349	School	What makes the new covenant better?	How does Christ's sacrifice change everything?	Where do you still carry guilt or shame?	What truth will you rest in this week?
S350	School	Which hero of faith inspires you most?	What does running your race require?	What weight or sin slows you down?	What will you lay aside this week?
S351	School	What's the biggest contrast between old and new ways?	What practices of love are urged?	Where do you need peace and purity?	What step will you take today?
S352	School	How do faith and works connect?	What role do words play in wisdom?	Where do you need to put faith into action?	What work of love will you do this week?
S353	School	Which encouragement for suffering speaks to you?	What hope anchors believers here?	Where do you need courage to do right?	What gentle answer will you give this week?
S354	School	Which warning about false teaching concerns you?	How does God's patience give hope?	Where do you need diligence and hope together?	What step will help you grow in grace?
S355	School	What tests help you know if something is true?	What does walking in the light look like?	Where do you need assurance or change now?	What step will you take toward the light?
S356	School	What danger does John warn about?	How do you guard your heart and home?	Where do you need to guard your home or heart?	What boundary will you set this week?
S357	School	What problem does John address?	What does honest hospitality look like?	Who could you welcome or support this week?	What act of hospitality will you do?
S358	School	What threats to faith are highlighted?	How do believers build themselves up?	Where do you need mercy and vigilance now?	What step will help you contend well?
S359	School	Which church's message speaks to you most?	What calls to repent or endure stand out?	Which message speaks most to you now?	What response will you make this week?
S360	School	Which vision would you want to see?	What hope do the sealed receive?	Where do you need endurance in trial now?	What prayer will keep you steady daily?
S361	School	Which warning feels most urgent?	What response is God seeking from people?	Where do you need to turn from compromise?	What step of repentance will you take?
S362	School	Which symbol of conflict or hope speaks to you?	What do they teach about faithful endurance?	Where do you feel worn out in the fight?	What practice will renew your strength?
S363	School	Which scene of judgment affects you most?	What do they reveal about God's justice?	Where do you long for final justice now?	What trust will you hold in the meantime?
S364	School	What contrasts between Babylon and the Lamb stand out?	What warnings call people to come out?	Where are you drawn to Babylon-like habits?	What break will you make this week?
S365	School	Which image of the new creation moves you most?	What promises anchor hope for the future?	Where do you need this hope today?	What step will help you live as a citizen of that city?
