storyCode	question1	question2	question3	question4
S258	What picture of God’s justice did you see?	What comfort is offered to the oppressed?	Where do we long for God to set things right?	What faithful trust will we practice today?
S259	What questions did Habakkuk bring?	What answers or tensions remained?	Where will we choose faith when answers delay?	What practice will help us rejoice while we wait?
S260	What warnings and songs appeared?	What hope is offered to the humble who seek God?	Where do we need humility and courage together?	What seeking step will we take this week?
S261	What priorities did Haggai confront?	What promise did God give to rebuilders?	Where have we delayed good work we should do?	What first step will we take to rebuild?
S262	What visions encouraged the people to build?	What do they say about cleansing and power?	Where do we need fresh courage to serve?	What act of service will we do this week?
S263	What questions about fasting were answered?	What kind of community did God promise?	Where can we practice truth and peace now?	What peacemaking choice will we make today?
S264	What do these chapters say about the coming King?	What images of salvation and mourning appeared?	Where do we welcome Jesus’ gentle rule?	What step of allegiance will we take this week?
S265	What questions did God raise with His people?	What problems in worship and justice were corrected?	Where do we need a fresh heart in worship?	What change will we make before next week?
S266	What beginnings of the kingdom did you see?	What did Jesus announce and invite people into?	Where do we need to repent and follow Him?	What first step of obedience will we take?
S267	What teachings from the Sermon stood out?	What picture of righteousness did Jesus give?	Where do we need to live this at school or home?	What practice will we start this week?
S268	What signs and responses marked Jesus’ work?	What do we learn about faith and authority?	Where do we need to trust Jesus’ authority now?	What act of trust will we take this week?
S269	What parables or questions stood out?	What do they reveal about the kingdom’s growth?	Where do we see small beginnings with big promise?	What faithful seed will we plant this week?
S270	What conflicts and confessions appeared?	What do we learn about faith under pushback?	Where is it hard to follow Jesus right now?	What step will we take to follow anyway?
S271	What values did Jesus teach here?	What do they show about forgiveness and humility?	Where do we need these at home or school?	What step will we take to practice them?
S272	What scenes stood out to you?	What do they show about cost and priorities?	Where is Jesus asking us to trust Him?	What step of obedience will we take?
S273	What responses to Jesus did you notice?	What does this reveal about His authority?	Where will we welcome His authority this week?	What act of honor will we offer Him?
S274	What warnings and hopes did you hear?	What do they teach about being ready and faithful?	Where do we feel unprepared or distracted?	What watchful habit will we begin?
S275	What moments moved you most?	What do they show about love and betrayal?	Where is it hard to stay loyal to Jesus?	What loyal step will we take today?
S276	What details about the cross and empty tomb stood out?	What does this mean for hope and mission?	Where do we need resurrection hope now?	What witness will we share this week?
S277	What first actions marked Jesus’ work?	What do they show about the gospel’s power?	Where do we need good news today?	What response will we make now?
S278	What kinds of needs did Jesus meet?	What does this model about serving others?	Who near us needs quiet help?	What act of service will we do this week?
S279	What tensions did you hear as Jesus served?	What do we learn about power and humility?	Where can we serve even when it costs?	What humble step will we take?
S280	What confessions or confusions appeared?	What does Jesus teach about following Him?	Where do we resist the way of the cross?	What surrender will we offer this week?
S281	What teaching challenged ambition here?	What does true greatness look like?	Where could we take a lower place?	What serving choice will we make?
S282	What questions or traps were raised for Jesus?	How did He answer with wisdom and truth?	Where do we need wise words under pressure?	What practice will help us answer well?
S283	What failures and faithfulness did you notice?	What does this show about weakness and prayer?	Where are we vulnerable to fear or denial?	What guard of prayer will we keep?
S284	What scenes of injustice and victory stood out?	What does the cross and resurrection mean to you?	Where do we need courage because He lives?	What bold faith step will we take?
S285	What surprises filled these birth stories?	What do they show about timing and grace?	Where do we need to trust God’s timing?	What small act of faith will we take?
S286	What preparations or tests appeared?	What do we learn about identity and mission?	Where is God preparing us quietly now?	What practice will ready our hearts?
S287	What calls or healings stood out?	What do they show about following daily?	Where might Jesus be calling us to leave something?	What step will we take to follow?
S288	What links did you see between faith and healing?	What did Jesus notice in those who came?	Where will we reach out in faith this week?	What prayer will we bring to Jesus?
S289	What milestones closed this phase?	What does Jesus expect of His disciples now?	Where can we put learning into practice?	What action will we take this week?
S290	What choices showed Jesus’ resolve?	What does discipleship cost look like here?	Where do we need focused resolve today?	What distraction will we lay down?
S291	What teachings challenged comfort or fear?	What do they say about trust and priorities?	Where do priorities need rearranging?	What first change will we make?
S292	Which parable or healing stayed with you?	What truth about the kingdom did you notice?	Where do we see that truth in daily life?	What small act will live it out?
S293	What habits of faith did Jesus commend?	What obstacles did He warn about?	Which habit do we need most now?	What step will we take to grow it?
S294	What did you notice about mercy and justice?	What does Jesus look for in hearts here?	Where do we need a fresh heart today?	What prayer will we make this week?
S295	What responses to Jesus appeared?	What does His authority challenge in people?	Where is Jesus challenging our comfort?	What obedient step will we take?
S296	What warnings or prayers were missed?	What do we learn about weakness and grace?	Where do we need watchfulness in temptation?	What watch will we keep this week?
S297	What moved you most in this account?	What does the resurrection call us to do?	Where will we live differently because He rose?	What witness will we share soon?
S298	What titles or images describe Jesus?	How did the first disciples respond?	Where do we need to come and see again?	What step will we take toward Jesus?
S299	What signs or talks stood out here?	What do they reveal about new life in Jesus?	Where do we need His transformation today?	What request will we bring to Him?
S300	What patterns connect these signs?	What do they say about hunger, fear, and faith?	Where are we hungry or afraid now?	What trust step will we take?
S301	What debates or claims about Jesus arose?	What did Jesus reveal about Himself here?	Where do we need to take a stand on Jesus?	What confession will we make this week?
S302	What changed in the healed person’s life?	What did leaders’ reactions reveal?	Where do we fear others’ opinions now?	What faithful choice will we make anyway?
S303	What emotions surrounded this sign?	What does Jesus show about life and death?	Where do we need His comfort or power?	What prayer will we ask Him to answer?
S304	What act of service stood out?	What does Jesus teach about love and identity?	Where can we serve without being noticed?	What simple act will we do this week?
S305	What images of abiding and unity spoke to you?	What does fruitfulness look like here?	Where do we need to remain in Jesus this week?	What practice will help us abide?
S306	What injustices and fulfillments appeared?	What does Jesus’ sacrifice mean for us?	Where do we need to rest in His finished work?	What response of gratitude will we offer?
S307	What proofs and meetings were recorded?	What mission did Jesus give His followers?	Where can we be a witness this week?	What next step will we take today?
S308	What happened when the Spirit came?	What does this mean for fear and boldness?	Where do we need Spirit-given courage now?	What prayer will we pray for power?
S309	What tensions rose as the church grew?	How did believers respond under pressure?	Where do we need courage to obey God?	What bold step will we take this week?
S310	What ministries multiplied here?	What do we learn from Stephen’s witness?	Where can we serve despite pushback?	What steady act will we continue?
S311	What changed in Saul’s life and direction?	What does this show about grace and calling?	Where could God be turning us around?	What step will we take in that new direction?
S312	What barriers were crossed in this story?	What does God show about welcome and inclusion?	Who is outside our usual circle now?	What welcome step will we take?
S313	What patterns of preaching and response appeared?	What kept the team focused amid pushback?	Where do we need endurance in serving?	What practice will help us keep going?
S314	What problem did the church solve here?	What does the decision say about grace?	Where do we add burdens God does not?	What freeing step will we take?
S315	What new doors and detours showed up?	What does guidance look like on the move?	Where do we need guidance right now?	What step will we take with the light we have?
S316	What growth and conflicts marked this time?	What do you notice about teaching and change?	Where do we need deeper learning or repentance?	What step will we take to grow?
S317	What led to Paul’s arrest?	What does courage look like in his defense?	Where could we speak truth under pressure?	What words will we prepare in prayer?
S318	What hearings and appeals happened?	What does Paul model in witness and reason?	Where do we need gentle, clear words now?	What respectful response will we give?
S319	What crises and rescues happened on the way?	What does leadership look like in the storm?	Where are we weathering a storm now?	What stabilizing step will we take?
S320	What problem with sin is described?	What does this mean for every person?	Where do we see this around us now?	What honest step toward God will we take?
S321	What good news is announced here?	What does faith do that law cannot?	Where do we try to earn what God gives?	What trust step will we take today?
S322	What changes when we live by the Spirit?	What hope is given for our struggle?	Where do we need the Spirit’s help now?	What prayer will we pray each day this week?
S323	What story of mercy unfolds here?	What does this say about God’s plan and people?	Where do we need humility in God’s story?	What worship response will we bring?
S324	What marks a changed life in this text?	What does love look like in practice here?	Where can we show this kind of love?	What act of love will we choose?
S325	What teamwork did you notice here?	What do these greetings reveal about the church?	Who helps us follow Jesus well now?	How will we thank or support them this week?
S326	What problems were addressed in this church?	What does true unity rest on here?	Where do we need to lay aside pride today?	What step will build unity this week?
S327	What guidance was given for purity here?	What principles stand out for honor and care?	Where do we need wisdom in relationships now?	What boundary will we keep this week?
S328	What does Paul teach about freedom and love?	How should freedom be used with others?	Where do we need self-control for someone’s good?	What choice will we make out of love?
S329	What do you learn about love and worship here?	What order and purpose guide the church?	Where can we build others up when we meet?	What encouraging word will we speak?
S330	What hope does the resurrection secure here?	How does that shape work and giving?	Where do we need a new perspective now?	What generous act will we plan?
S331	What hardships and comforts were named?	What does ministry look like through weakness?	Where do we need comfort to keep serving?	What step will we take in dependence on God?
S332	What treasure in jars of clay did you see?	What does grace change in relationships?	Where do we need to forgive or reconcile?	What move toward grace will we make?
S333	What examples of giving stood out?	What principles guide cheerful giving?	Where can we share to meet a need now?	What gift will we prepare this week?
S334	What marks true and false servants?	What warnings does Paul give?	Where do appearances mislead us today?	What test will we use before trusting a voice?
S335	What story did Paul tell of his calling?	What does this show about grace vs. earning?	Where do we rest in approval more than grace?	What truth will we hold this week?
S336	What is the core of the gospel here?	What fruit should follow faith in Christ?	Where do we want to see this fruit grow?	What step will we take to walk by the Spirit?
S337	What blessings in Christ were listed?	What does adoption into God’s family mean?	Where do we forget our true identity?	What reminder will we carry this week?
S338	What practices mark a healthy church family?	What old ways must be put off here?	Where do we need new habits in speech or life?	What new way will we put on this week?
S339	What themes of joy and unity appeared?	What practices fight anxiety and division?	Where can we choose joy in our routine?	What habit will help us rejoice daily?
S340	What does Paul say about Jesus’ supremacy?	What changes when Christ is our center?	Where are we pulled off center now?	What Christ-centered step will we take?
S341	What hopes and commands shape waiting here?	What does holy living look like in this text?	Where do we need hope to keep going?	What step will help us stay awake to God?
S342	What confusions about the return were corrected?	What steadiness does Paul call for?	Where do rumors unsettle our faith now?	What grounding truth will we repeat?
S343	What instructions did Paul give Timothy?	What example should leaders set?	Where can we be faithful with small things?	What step will we take to serve steadily?
S344	What charges and comforts stood out?	What does finishing the race involve?	Where do we need endurance today?	What step will help us finish well?
S345	What truths about salvation were emphasized?	What does grace train us to do now?	Where do we need grace to change habits?	What good work will we devote to this week?
S346	What requests did Paul make to Philemon?	What does gospel reconciliation look like?	Where do we need to repair a relationship now?	What first step will we take?
S347	What comparisons lifted Jesus high?	What warnings urge us to listen to Him?	Where have we drifted from His voice?	What response of faith will we make today?
S348	What kind of priest is Jesus shown to be?	What hope comes from His intercession?	Where do we need His help right now?	What prayer will we bring with confidence?
S349	What makes the new covenant better?	What does Christ’s sacrifice accomplish?	Where do we still carry guilt or shame?	What truth will we rest in this week?
S350	What examples of faith inspired you?	What does running the race require now?	What weight or sin slows us down?	What will we lay aside this week?
S351	What contrasts mark old and new ways?	What practices of love and holiness are urged?	Where do we need peace and purity?	What step will we take today?
S352	What links between faith and works appeared?	What do you learn about speech and wisdom?	Where do we need to put faith into action?	What work of love will we do this week?
S353	What encouragements for suffering did you see?	What hope anchors believers here?	Where do we need courage to do right?	What gentle answer will we give this week?
S354	What warnings about false teaching were given?	What hope points to the Lord’s patience?	Where do we need diligence and hope together?	What step will help us grow in grace?
S355	What tests of truth and love were given?	What does walking in the light look like?	Where do we need assurance or change now?	What step will we take toward the light?
S356	What danger did John warn about?	What does faithful love look like now?	Where do we need to guard our home or heart?	What boundary will we set this week?
S357	What problem did John address here?	What does honest hospitality look like?	Who could we welcome or support this week?	What act of hospitality will we do?
S358	What threats to the faith were highlighted?	What must believers build themselves up in?	Where do we need mercy and watchfulness now?	What step will help us contend well?
S359	What strengths and weaknesses were named?	What calls to repent or endure stood out?	Which message speaks most to us now?	What response will we make this week?
S360	What visions and cries did you notice?	What hope do the sealed receive?	Where do we need endurance in trial now?	What prayer will keep us steady?
S361	What warnings and judgments unfolded?	What response is God seeking from people?	Where do we need to turn from compromise?	What step of repentance will we take?
S362	What symbols of conflict and hope appeared?	What do they teach about faithful endurance?	Where do we feel worn out in the fight?	What practice will renew our strength?
S363	What scenes of judgment filled this reading?	What do they reveal about God’s justice?	Where do we long for final justice now?	What trust will we hold in the meantime?
S364	What contrasts appear between Babylon and the Lamb?	What warnings call people to come out?	Where are we drawn to Babylon-like habits?	What break will we make this week?
S365	What pictures of the new creation moved you?	What promises anchor our hope?	Where do we need this hope today?	What step will help us live as citizens of that city?
