Small Group CSV for all 365 stories.				
				
				
storyCode	question1	question2	question3	question4
S194	What repeating ideas about idols and trust appear?	How does the text contrast God with false securities?	Where are you tempted to trust image, wealth, or alliances?	What trust shift will you make and note this week?
S195	What images of judgment and rescue appear?	What does the passage claim about God’s rule over history?	Where do you need hope while facing hard news?	What daily truth or prayer will you repeat to anchor hope?
S196	What themes of pride, refuge, and warning recur?	How does misplaced trust get exposed in the text?	Where might self‑reliance be hiding as wisdom?	What practical dependence step will you take this week?
S197	What future restoration is pictured?	What promises are given to the redeemed?	Where do you need courage from this vision today?	What concrete step will you take that aligns with this promised future?
S198	What deliverance and what failure are recorded?	What lessons about trust and pride emerge?	Where could success lead you to careless decisions?	What humility safeguard will you set (review, counsel, limit) this week?
S199	What contrasts between God and idols are highlighted?	What comfort or calling do you hear for the weary?	Where do you feel weak or fearful now?	What truth from this text will you speak when fear rises?
S200	What marks the Servant’s mission and manner?	How do idols fail in contrast to God’s action here?	Where could gentle justice guide your approach this week?	What specific gentle‑and‑firm step will you take for someone’s good?
S201	What does God declare about Cyrus and history?	What does this show about God’s sovereignty over events?	Where do you struggle to see purpose in delays or detours?	What patient trust practice will you keep each day this week?
S202	Which roles of the Servant stand out (light, covenant, comfort)?	How is hope offered to the tired and distant?	Where could you embody faithful service in a small way?	What servant act will you plan and carry out this week?
S203	What suffering and victory are described?	What does the passage claim about how God saves?	How does this shape humility and mercy in your dealings?	What mercy action will you take toward someone this week?
S204	What true fasting and justice look like here?	What promises follow humble repentance and care for the poor?	Where can you align piety with tangible mercy?	What specific mercy practice will you do and review this week?
S205	What cycles of judgment and restoration appear?	What hope is given to God’s servants?	Where do you need long‑view endurance?	What endurance habit (prayer, journal, check‑in) will you keep daily this week?
S206	What parts of Jeremiah’s call and God’s promise stand out?	What fears and reassurances are named?	Where might you be called to speak truth with care?	What careful, obedient step will you take this week?
S207	What sins and warnings are identified?	What does this section reveal about stubborn hearts?	Where do similar roots appear in culture or self?	What turn‑from step will you take today to cut a harmful root?
S208	What false trusts are exposed?	What does real worship require in this text?	Where are forms replacing substance in your rhythms?	What honest change will you make in how you approach worship this week?
S209	What covenant breaches are described?	What does this show about hard hearts and consequences?	Where are you resisting a clear word from God?	What practical step will you take to return to obedience?
S210	What images show God’s reluctance to judge?	What does this teach about the weight of sin?	Where do you tend to minimize damaging choices?	What wise limit will you set to prevent repeat harm?
S211	What signs of mercy appear and under what conditions?	What responses are invited in this passage?	Where do you see an open door to return or reset?	What step will you take through that door this week?
S212	What opposition and pressures meet Jeremiah?	How does he respond under hostility?	Where do you need courage to persist in a good work?	What support or rhythm will you put in place to keep going?
S213	Which leaders are addressed and for what failures?	What does God require of leaders in this passage?	Where do you influence quietly and need integrity?	What leader habit will you practice consistently this week?
S214	What conflict over truth appears here?	What marks a trustworthy message in the text?	Where do you need discernment among loud voices?	What test of truth will you apply before acting this week?
S215	What hope is offered to the exiles?	What does the promised covenant describe?	Where do you need patient fidelity in a long season?	What small, regular practice will you keep while you wait?
S216	What act of faith does Jeremiah take and why?	What does this show about hope inside crisis?	Where could you invest now toward a future good?	What small investment step will you make this week?
S217	What covenants are contrasted and with what outcomes?	What is commended about steadfast obedience?	Where do you need to keep your word despite inconvenience?	What promise will you honor carefully this week?
S218	What trials continue and how does Jeremiah endure?	What sustains faithfulness under prolonged pressure?	Where are you tired of doing good?	What perseverance step will you commit to and report next meeting?
S219	What scenes and reactions mark the fall?	What lessons about warning and consequence surface?	Where do you see slow‑burn consequences in life or systems?	What wise preventive step will you take this week?
S220	What choices lead to the flight, and why?	What does this show about fear, trust, and refusal to listen?	Where are fear‑based decisions steering you?	What trust‑based choice will you make and share with someone this week?
S221	What judgments are announced and for which reasons?	What does this reveal about God’s justice among nations?	Where do you long to see justice addressed today?	What prayer or advocacy act will you take for a just outcome?
S222	What further judgments are declared and why?	What recurring wrongs are called out?	Where do those same roots appear near you?	What repair‑oriented step will you take within your reach?
S223	What fate awaits Babylon in this section?	What does this say about pride, empire, and downfall?	Where is pride tempting you to overreach?	What humble practice will you adopt daily this week?
S224	What closing notes end Jeremiah’s book?	How do the outcomes confirm earlier words?	What must you carry forward as a settled lesson?	What reminder or rule will you write and keep visible this week?
S225	What images of grief and loss stand out?	What does the lament teach about sin’s cost?	Where do you need space for honest lament?	What short lament prayer will you speak this week?
S226	What turns toward hope appear here?	What is remembered about God’s mercy and faithfulness?	Where do you need hope to rise again?	What daily mercy reminder will you set and use this week?
S227	What features of the vision stay with you?	What does this communicate about God’s glory and calling?	How should awe reshape your pace and choices?	What practice of awe (silence, creation walk, doxology) will you add daily?
S228	What sign‑acts does Ezekiel perform and why?	What message are they meant to convey?	Where do you need a wake‑up call to change course?	What immediate change will you make before day’s end?
S229	What reasons are given for God’s departure?	What does this reveal about idolatry and presence?	Where are you crowding out God with lesser things?	What will you remove to make room for God this week?
S230	What enacted signs of exile appear here?	What do they show about stubborn refusal to listen?	Where are repeated warnings going unheeded?	What listening action will you take (ask, pause, heed) this week?
S231	What metaphors describe unfaithfulness?	What do they reveal about covenant love and betrayal?	Where are promises being treated lightly?	What faithfulness step will you take to strengthen a promise you’ve made?
S232	What images of judgment and lament stand out?	How do justice and mercy appear together?	Where do you need both clarity and compassion?	What wise, balanced action will you practice in a hard situation this week?
S233	What history of rebellion is rehearsed?	What does this show about patience and consequence?	Where are old patterns repeating in your life or setting?	What new path will you start and track beginning today?
S234	What hard images confront unfaithfulness here?	What outcomes do they warn about?	Where do you see relational betrayal harming community?	What repair step (truth, boundary, restitution) will you advance this week?
S235	Which nations are addressed and for what?	What warnings about pride and cruelty emerge?	Where must you resist contempt and choose respect?	What respectful action will you practice toward someone you distrust?
S236	What judgments fall on Egypt’s pride and power?	What do they reveal about false strength and downfall?	Where are you leaning on fragile supports?	What stronger trust or discipline will you practice this week?
S237	What is the watchman’s role and duty?	What responsibility toward warning and truth do you see?	Where should you speak up carefully for someone’s good?	What careful, timely word will you share this week?
S238	What shepherd images describe God’s care?	What promises of renewal are offered?	Where do you need shepherding—guidance, rest, healing?	What step will you take to receive and extend that care this week?
S239	What visions of life and renewal appear?	What do they reveal about Spirit‑given restoration?	Where do you hope to see new life emerge?	What practical act of hope will you practice this week?
S240	What details of measurement and order stand out?	What do order and holiness communicate here?	Where do boundaries help you meet with God?	What boundary (time, place, tech) will you honor daily this week?
S241	What moment marks return and presence?	What changes should follow God’s glory among the people?	Where do you sense God rebuilding your inner life?	What worship response will you practice this week?
S242	What roles, portions, and rhythms are described?	What do sacred times teach about community life?	Which rhythm could shape your family or group well?	What time will you guard and practice this week?
S243	What life‑giving images affect you most?	What do they show about God’s presence bringing healing?	Where do you long to see healing flow?	What step toward planting or tending life will you take this week?
S244	What pressures test Daniel and friends?	What practices keep them faithful?	Where do you need resolve in a difficult environment?	What faithful practice will you keep without exception this week?
S245	What rescues and humblings occur?	What do they reveal about God’s rule and human pride?	Where do you need courage to stand and kindness to speak?	What bold yet respectful step will you take this week?
S246	What warnings are ignored at the feast?	What does Daniel’s witness look like under threat?	Where might integrity cost you in the near term?	What faithful choice will you make and record this week?
S247	Which visions or themes stand out?	What do they say about God’s final rule and human kingdoms?	Where do you need endurance and hope?	What endurance practice will you adopt daily this week?
S248	What insights are given into conflict and unseen struggle?	How does the text frame perseverance amid chaos?	Where do you feel outmatched or anxious now?	What steady prayer or habit will you keep when anxiety spikes?
S249	What signs of steadfast love and painful cost appear?	What does the account say about unfaithfulness and pursuit?	Where do lesser loves pull you off course?	What turn‑back step will you take today toward faithfulness?
S250	What repeated calls to return are heard?	What promises meet repentance in this passage?	Where do you need to come home to God’s ways?	What practical return step will you take today?
S251	What images portray the Day of the Lord?	What responses does the prophet call for?	Where do you need wholehearted return rather than half‑measures?	What concrete act of repentance will you practice now?
S252	What injustices and empty forms of worship are named?	What does God require instead?	Where can you do right for someone overlooked?	What just action will you take and share with the group next week?
S253	What visions does Amos receive and report?	What hope remains after judgment here?	Where do you need both truth and hope together?	What one step will you take to seek both this week?
S254	What is Edom judged for?	What warning is offered about pride and gloating?	Where might you be tempted to celebrate another’s fall?	What humble compassion will you show instead this week?
S255	What surprises you most in Jonah’s account?	What does God’s mercy toward Nineveh reveal?	Who is hard for you to view with mercy in public life?	What merciful word or act will you extend this week?
S256	What charges and promises appear in Micah?	What does the text say God requires of His people?	Where can you do justice and love mercy right now?	What humble, concrete act will you take this week?
S257	What laments and promises are set together?	What future hope is offered to the people?	Where do you need that hope today?	What short prayer of hope will you speak each morning this week?
S258	What picture of God’s justice appears?	What comfort is offered to the oppressed?	Where do you long for God to set things right?	What faith‑anchored trust step will you practice today?
S259	What questions and answers/tensions mark Habakkuk’s dialogue?	What does the text model about faith when answers delay?	Where will you choose trust without full clarity?	What rejoice‑in‑waiting practice will you adopt this week?
S260	What warnings and songs shape this book?	What hope is offered to the humble who seek the Lord?	Where do you need humility and courage together?	What seeking‑the‑Lord step will you take this week?
S261	What priorities Haggai confronts and commends?	What promise does God give to rebuilders?	Where have you delayed necessary good work?	What first rebuilding step will you take and log this week?
S262	What visions encourage the work and cleanse the people?	What do they imply about God’s empowering presence?	Where do you need fresh encouragement to serve?	What act of service will you do this week with prayerful dependence?
S263	What questions about fasting and justice are addressed?	What kind of community does God promise?	Where can you practice truth and peace today?	What peacemaking choice will you deliberately make this week?
S264	What is said about the coming King and salvation?	What responses of mourning and trust appear?	Where do you welcome the Shepherd’s rule in daily choices?	What allegiance step will you take this week in a live decision?
S265	What questions and corrections does God raise?	What issues in worship and ethics are confronted?	Where do you need a renewed heart in worship and work?	What one change will you implement before next week?
S266	What beginnings of the kingdom appear here?	What does Jesus announce and invite people into?	Where do you sense a call to repent and follow?	What first obedience will you practice this week?
S267	Which teachings from the Sermon most challenge you?	What picture of righteousness does Jesus give?	Where should these words reshape your ordinary practices?	What specific practice will you start this week?
S268	What signs and responses mark Jesus’ ministry here?	What do you learn about authority, faith, and sending?	Where do you need to trust Jesus’ authority now?	What act of trust will you take this week in that arena?
S269	Which parables or sayings stand out and why?	What do they reveal about the kingdom’s growth and value?	Where do you see small beginnings with big potential?	What faithful seed will you plant or tend this week?
S270	What conflicts and confessions appear here?	What do you observe about faith amid resistance?	Where is following Jesus costly for you right now?	What step will you take to follow anyway this week?
S271	Which teachings or scenes stand out in this chapter?	What do they show about humility, accountability, and forgiveness?	Where would these values change a situation in your week?	What concrete step will you take to practice humble reconciliation?
S272	What encounters or sayings mark Jesus’ approach?	What do these reveal about cost, priorities, and trust?	Where is Jesus’ way confronting your comfort or schedule?	What specific act of obedience will you do this week?
S273	What responses to Jesus’ arrival do you notice?	What does this reveal about His authority and people’s hearts?	Where do you need to welcome His authority in daily decisions?	What honoring action will you take because He is King?
S274	Which warnings or hopes are most striking?	What do they teach about readiness and faithful stewardship?	Where are you distracted from what matters most?	What watchful habit will you begin and keep this week?
S275	What moments or choices move the story here?	What do they show about love, betrayal, and perseverance?	Where is loyalty to Jesus costly for you now?	What loyal action will you take despite pressure?
S276	Which details of death and resurrection stand out?	What do they declare about hope and mission?	Where do you need resurrection hope in a hardship?	What witness or act of courage will you take this week?
S277	What starts Jesus’ ministry in these scenes?	What do you learn about the gospel’s power and aim?	Where do you need good news to reshape attitude or action?	What response will you make in light of this good news?
S278	What needs does Jesus meet and how?	What does this model about serving others?	Where can you serve quietly and concretely this week?	What specific service will you schedule and do?
S279	What tensions arise as Jesus serves?	What do you learn about power, humility, and opposition?	Where might faithful service draw criticism today?	What humble step will you take even if it costs?
S280	What confessions or misunderstandings appear?	What does Jesus teach about the path of following Him?	Where do you resist the way of the cross?	What surrender step will you take this week?
S281	Which teachings challenge ambition here?	What does true greatness look like in this passage?	Where could taking a lower place bless others?	What serving choice will you make in one setting this week?
S282	What questions or traps are raised?	How does Jesus answer with wisdom and truth?	Where do you need wise, calm words under pressure?	What preparation or practice will help you answer well?
S283	Which failures and faithfulness do you notice?	What does this show about weakness, prayer, and courage?	Where are you vulnerable to fear‑driven choices?	What guard of prayer or accountability will you put in place?
S284	What scenes of injustice and victory stand out?	What does the cross and empty tomb call you to?	Where do you need courage because He lives?	What bold next step will you take this week?
S285	What surprises and responses appear in these stories?	What do they show about timing, promise, and grace?	Where do you need to trust God’s timing?	What small act of faith will you take this week?
S286	What preparations or tests do you see?	What do they teach about identity, dependence, and mission?	Where is quiet preparation needed in your life?	What practice will you adopt to ready your heart?
S287	What calls and healings stand out?	What do they show about following Jesus day to day?	Where is He calling you to leave or start something?	What concrete follow step will you take this week?
S288	What links do you see between faith and healing?	What does Jesus notice in those who come to Him?	Where will you reach out in faith this week?	What specific prayer will you bring to Jesus daily?
S289	What milestones close this phase?	What expectations does Jesus set for disciples now?	Where can you put learning into practice?	What action will you take to act on what you’ve learned?
S290	What choices show Jesus’ resolve?	What does discipleship cost look like here?	Where do you need focused resolve today?	What distraction will you lay down this week?
S291	Which teachings challenge fear or comfort?	What do they say about trust and priorities?	Where do priorities need rearranging in your calendar?	What first change will you implement by mid‑week?
S292	What parable or healing most strikes you?	What truth about the kingdom do you see?	Where do you see this truth in your daily life?	What small action will live that truth out this week?
S293	What habits of faith are commended?	What obstacles are warned against?	Which habit do you most need now?	What step will you take to grow that habit this week?
S294	What do you notice about mercy and justice here?	What does Jesus look for in hearts?	Where do you need a fresh heart posture today?	What prayer or practice will you add this week?
S295	What responses to Jesus appear?	What does His authority challenge in people?	Where is He challenging your comfort?	What obedient step will you take this week?
S296	What warnings or prayers were missed?	What does this reveal about weakness and grace?	Where do you need watchfulness in a temptation?	What practical watch will you keep this week?
S297	What moved you most in this account?	What does the resurrection call you to now?	Where will you live differently because He rose?	What witness will you share soon and with whom?
S298	What titles and images describe Jesus?	How do the first disciples respond?	Where do you need to ‘come and see’ again?	What step will you take toward Jesus this week?
S299	What signs and conversations stand out?	What do they reveal about new life in Jesus?	Where do you need transformation today?	What request will you bring to Him daily this week?
S300	What patterns connect these signs?	What do they say about hunger, fear, and faith?	Where are you hungry or afraid now?	What trust step will you take this week?
S301	What debates or claims about Jesus arise?	What does Jesus reveal about Himself here?	Where do you need to take a clear stand on Jesus?	What confession or commitment will you make this week?
S302	What changes in the healed person’s life?	What do leaders’ reactions reveal in the story?	Where do others’ opinions pressure your choices?	What faithful action will you take anyway this week?
S303	What emotions surround this sign?	What does Jesus show about life and death?	Where do you need His comfort or power now?	What prayer will you ask Him to answer this week?
S304	What act of service stands out?	What does Jesus teach about love and identity?	Where can you serve without being noticed?	What unseen service will you do this week?
S305	What images of abiding and unity speak to you?	What does fruitfulness look like in this passage?	Where do you need to remain in Jesus this week?	What daily practice will help you abide?
S306	What injustices and fulfillments appear?	What does Jesus’ sacrifice mean for us?	Where do you need to rest in His finished work?	What gratitude response will you practice this week?
S307	What proofs and meetings are recorded?	What mission does Jesus give His followers?	Where can you be a witness this week?	What next step will you take today to share or serve?
S308	What happens when the Spirit comes?	What does this mean for fear and boldness?	Where do you need Spirit‑given courage now?	What prayer for power will you pray daily this week?
S309	What tensions rise as the church grows?	How do believers respond under pressure?	Where do you need courage to obey God?	What bold, respectful step will you take this week?
S310	What ministries multiply here?	What do you learn from Stephen’s witness?	Where can you serve despite resistance?	What steady act will you continue this week?
S311	What changes in Saul’s life and direction?	What does this show about grace and calling?	Where could God be turning you around?	What step will you take in that new direction this week?
S312	What barriers are crossed in this story?	What does God show about welcome and inclusion?	Who is outside your usual circle now?	What welcome step will you take toward them?
S313	What patterns of preaching and response appear?	What keeps the team focused amid pushback?	Where do you need endurance in serving?	What practice will you use to keep going this week?
S314	What problem is resolved and how?	What does the decision say about grace and unity?	Where are you adding burdens God does not?	What freeing step will you take this week?
S315	What new doors and detours show up?	What does guidance look like on the move?	Where do you need guidance right now?	What step will you take with the light you have?
S316	What growth and conflicts mark this time?	What do you notice about teaching and change?	Where do you need deeper learning or repentance?	What step will you take to grow this week?
S317	What events lead to Paul’s arrest?	What does courage look like in his defense?	Where could you speak truth under pressure?	What words will you prepare in prayer this week?
S318	What hearings and appeals occur?	What does Paul model in witness and reason?	Where do you need gentle, clear words now?	What respectful response will you give this week?
S319	What crises and rescues happen on the way?	What does leadership look like in the storm?	Where are you weathering a storm now?	What stabilizing step will you take this week?
S320	What problem with sin is described?	What does this mean for every person?	Where do you see this reality in your context?	What honest step toward God will you take this week?
S321	What good news is announced here?	What does faith do that law cannot?	Where do you try to earn what God gives?	What trust step will you take today?
S322	What changes when we live by the Spirit?	What hope is given for our struggle?	Where do you need the Spirit’s help now?	What simple prayer will you pray each day this week?
S323	What story of mercy unfolds in these chapters?	What does this say about God’s plan and people?	Where do you need humility in God’s story?	What worship response will you bring this week?
S324	What marks a transformed life in this text?	What does love look like in practice here?	Where can you offer this kind of love this week?	What act of love will you choose and do?
S325	What relationships and teamwork do you notice?	What do these greetings reveal about the church?	Who helps you follow Jesus faithfully now?	How will you thank or support them this week?
S326	What problems are addressed in this church?	What does true unity rest on here?	Where do you need to lay aside pride today?	What step will you take to build unity this week?
S327	What guidance is offered for purity here?	What principles stand out for honor and care?	Where do you need wisdom in relationships now?	What boundary will you keep this week?
S328	What does Paul teach about freedom and love?	How should freedom be used with others?	Where do you need self‑control for someone’s good?	What choice will you make out of love this week?
S329	What do you learn about love and worship here?	What order and purpose guide the church?	Where can you build others up when you meet?	What encouraging word will you speak this week?
S330	What hope does the resurrection secure?	How does that shape work and giving?	Where do you need a resurrection perspective now?	What generous act will you plan this week?
S331	What hardships and comforts are named?	What does ministry through weakness look like?	Where do you need comfort to keep serving?	What step will you take in dependence on God?
S332	What treasure in jars of clay do you see?	What does grace change in relationships?	Where do you need to forgive or reconcile?	What move toward grace will you make this week?
S333	What examples of giving stand out?	What principles guide cheerful giving?	Where can you share to meet a need now?	What gift will you prepare and deliver this week?
S334	What marks distinguish true from false servants?	What warnings does Paul give?	Where do appearances mislead you today?	What test will you use before trusting a voice?
S335	What story does Paul tell of his calling?	What does this show about grace versus earning?	Where do you rest in approval more than grace?	What truth will you hold to this week?
S336	What is the core of the gospel here?	What fruit should follow faith in Christ?	Where do you want to see this fruit grow?	What step will you take to walk by the Spirit?
S337	What blessings in Christ are listed?	What does adoption into God’s family mean?	Where do you forget your true identity?	What reminder will you carry this week?
S338	What practices mark a healthy church family?	What old ways must be put off here?	Where do you need renewal in speech or habits?	What new way will you put on this week?
S339	What themes of joy and unity appear?	What practices fight anxiety and division?	Where can you choose joy in your routine?	What habit will help you rejoice daily?
S340	What does Paul say about Jesus’ supremacy?	What changes when Christ is your center?	Where are you pulled off center now?	What Christ‑centered step will you take this week?
S341	What hopes and commands shape waiting here?	What does holy living look like in this text?	Where do you need hope for perseverance?	What step will help you stay awake to God?
S342	What confusions about the return are corrected?	What steadiness does Paul call for?	Where do rumors unsettle your faith now?	What grounding truth will you repeat this week?
S343	What instructions does Paul give Timothy?	What example should leaders set?	Where can you be faithful with small things?	What step will you take to serve steadily this week?
S344	What charges and comforts stand out?	What does finishing the race involve?	Where do you need endurance today?	What practice will help you finish well this week?
S345	What truths about salvation are emphasized?	What does grace train us to do now?	Where do you need grace to change a habit?	What good work will you devote to this week?
S346	What requests does Paul make to Philemon?	What does gospel reconciliation look like here?	Where do you need to repair a relationship?	What first step toward repair will you take?
S347	What comparisons elevate Jesus here?	What warnings urge us to listen to Him?	Where have you drifted from His voice?	What response of faith will you make today?
S348	What kind of priest is Jesus shown to be?	What hope comes from His intercession?	Where do you need His help right now?	What prayer will you bring with confidence this week?
S349	What makes the new covenant better?	What does Christ’s sacrifice accomplish?	Where do you still carry guilt or shame?	What truth will you rest in this week?
S350	What examples of faith inspire you?	What does running the race require now?	What weight or sin slows you down?	What will you lay aside this week?
S351	What contrasts mark old and new ways?	What practices of love and holiness are urged?	Where do you need peace and purity?	What step will you take today?
S352	What links between faith and works appear?	What do you learn about speech and wisdom?	Where do you need to put faith into action?	What work of love will you do this week?
S353	What encouragements for suffering do you see?	What hope anchors believers here?	Where do you need courage to do right?	What gentle answer will you give this week?
S354	What warnings about false teaching are given?	What hope points to the Lord’s patience?	Where do you need diligence and hope together?	What step will help you grow in grace this week?
S355	What tests of truth and love are given here?	What does walking in the light look like?	Where do you need assurance or repentance now?	What step will you take toward the light?
S356	What danger does John warn about?	What does faithful love look like now?	Where do you need to guard your home or heart?	What boundary will you set this week?
S357	What problem does John address?	What does honest hospitality look like?	Who could you welcome or support this week?	What act of hospitality will you do?
S358	What threats to the faith are highlighted?	What must believers build themselves up in?	Where do you need mercy and vigilance now?	What step will help you contend well this week?
S359	What strengths and weaknesses are named?	What calls to repent or endure stand out?	Which message speaks most to you now?	What response will you make this week?
S360	What visions and cries do you notice?	What hope do the sealed receive?	Where do you need endurance in a trial?	What prayer will keep you steady daily?
S361	What warnings and judgments unfold?	What response is God seeking from people?	Where do you need to turn from compromise?	What step of repentance will you take this week?
S362	What symbols of conflict and hope appear?	What do they teach about faithful endurance?	Where do you feel worn out in the fight?	What practice will renew your strength this week?
S363	What scenes of judgment fill this reading?	What do they reveal about God’s justice?	Where do you long for final justice now?	What trust will you hold in the meantime this week?
S364	What contrasts appear between Babylon and the Lamb?	What warnings and calls to come out are given?	Where are you drawn to Babylon‑like habits?	What break will you make from one habit this week?
S365	What images of the new creation move you?	What promises anchor hope for the future?	Where do you need this hope today?	What step will help you live as a citizen of that city this week?
