SegmentID	Audience	Q1	Q2	Q3	Q4
S271	Family	Which teaching would change our family most?	How different is Jesus' way?	Where do we need these at home or school?	What step will we take to practice them?
S272	Family	What would we give up for Jesus?	Is anything too important to let go?	Where is Jesus asking us to trust Him?	What step of obedience will we take?
S273	Family	How would we welcome Jesus?	Do we recognize God's king?	Where will we welcome His authority this week?	What act of honor will we offer Him?
S274	Family	Which warning or promise stood out?	Are we ready for Jesus to come back?	Where do we feel unprepared or distracted?	What watchful habit will we begin?
S275	Family	Which part of Jesus' last days made you sad?	Would we stay with Jesus when it's hard?	Where is it hard to stay loyal to Jesus?	What loyal step will we take today?
S276	Family	Would we believe Jesus rose?	Why is resurrection hard to believe?	Where do we need resurrection hope now?	What witness will we share soon?
S277	Family	What did Jesus do first?	Why pick regular people as helpers?	Where do we need good news today?	What response will we make now?
S278	Family	Which person's healing amazes you?	Why did Jesus help so many?	Who near us needs quiet help?	What act of service will we do this week?
S279	Family	Would we follow if friends didn't like it?	Why does helping make enemies?	Where can we serve even when it costs?	What humble step will we take?
S280	Family	What does taking up our cross mean?	Is following Jesus sometimes hard?	Where do we resist the way of the cross?	What surrender will we offer this week?
S281	Family	What makes someone great at school?	What makes someone great to Jesus?	Where could we take a lower place?	What serving choice will we make?
S282	Family	How did Jesus answer tricky questions?	Why do religious people sometimes miss God?	Where do we need wise words under pressure?	What practice will help us answer well?
S283	Family	Which disciple's mistake feels familiar?	Why do we mess up under pressure?	Where are we vulnerable to fear?	What guard of prayer will we keep?
S284	Family	Which part of Jesus' death is hardest?	Why did Jesus have to die?	Where do we need courage because He lives?	What bold faith step will we take?
S285	Family	Which part of Jesus' birth amazes you?	Why did God become a baby?	Where do we need to trust God's timing?	What small act of faith will we take?
S286	Family	Would we know Jesus if we saw Him?	How do we get ready for God?	Where is God preparing us quietly now?	What practice will ready our hearts?
S287	Family	Would we leave everything to follow?	What does following Jesus cost?	Where might Jesus be calling us to leave something?	What step will we take to follow?
S288	Family	Whose faith amazes you in this story?	What does Jesus notice in people?	Where will we reach out in faith this week?	What prayer will we bring to Jesus?
S289	Family	Would we go if Jesus sent us?	What does Jesus expect from us?	Where can we put learning into practice?	What action will we take this week?
S290	Family	Was Jesus brave to go to Jerusalem?	What does holy courage look like?	Where do we need focused resolve today?	What distraction will we lay down?
S291	Family	Which teaching feels hardest?	Why does Jesus care what we value?	Where do priorities need rearranging?	What first change will we make?
S292	Family	Which story or healing do you like best?	What does God's kingdom look like?	Where do we see that truth in daily life?	What small act will live it out?
S293	Family	Which habit seems most important?	What makes faith hard sometimes?	Which habit do we need most now?	What step will we take to grow it?
S294	Family	How does Jesus treat people others ignore?	Why does Jesus love outsiders?	Where do we need a fresh heart today?	What prayer will we make this week?
S295	Family	How would we have greeted Jesus?	Why did some people not like Him?	Where is Jesus challenging our comfort?	What obedient step will we take?
S296	Family	Which mistake could we make too?	Why do we mess up under pressure?	Where do we need watchfulness in temptation?	What watch will we keep this week?
S297	Family	Would we believe Jesus is alive?	How does resurrection change things?	Where will we live differently because He rose?	What witness will we share soon?
S298	Family	What names for Jesus do you like best?	Why does Jesus have so many titles?	Where do we need to come and see again?	What step will we take toward Jesus?
S299	Family	Which talk with Jesus amazes you?	How does Jesus change people?	Where do we need His transformation today?	What request will we bring to Him?
S300	Family	Which miracle amazes you most?	Why are we still afraid sometimes?	Where are we hungry or afraid now?	What trust step will we take?
S301	Family	Would we stand up for Jesus if it was hard?	Why do people argue about Jesus?	Where do we need to take a stand on Jesus?	What confession will we make this week?
S302	Family	Which person in the story is most like us?	Why do religious people sometimes miss God?	Where do others' opinions pressure us?	What faithful choice will we make anyway?
S303	Family	Why did Jesus cry if He knew He'd raise Lazarus?	Does Jesus care about our sadness?	Where do we need His comfort or power?	What prayer will we ask Him to answer?
S304	Family	Would we wash dirty feet?	Why does serving feel strange?	Where can we serve without being noticed?	What simple act will we do this week?
S305	Family	What does staying connected to Jesus mean?	How do branches need the vine?	Where do we need to remain in Jesus this week?	What practice will help us abide?
S306	Family	Which part of Jesus' death is hardest?	Why did Jesus have to die for us?	Where do we need to rest in His finished work?	What response of gratitude will we offer?
S307	Family	Which proof that Jesus is alive amazes you?	What job does Jesus give His followers?	Where can we be a witness this week?	What next step will we take today?
S308	Family	What would it feel like to have God's Spirit?	What changes when the Spirit comes?	Where do we need Spirit-given courage now?	What prayer will we pray for power?
S309	Family	Would we keep telling about Jesus if threatened?	Why does good news make enemies?	Where do we need courage to obey God?	What bold step will we take this week?
S310	Family	Which helper's story do you like best?	What does Stephen teach about being brave?	Where can we serve despite pushback?	What steady act will we continue?
S311	Family	How much did Paul change?	Can God change anyone?	Where could God be turning us around?	What step will we take in that new direction?
S312	Family	Why was it hard to accept different people?	What barriers do we put up?	Who is outside our usual circle now?	What welcome step will we take?
S313	Family	How did they keep going when people were mean?	What helps us not give up?	Where do we need endurance in serving?	What practice will help us keep going?
S314	Family	Do new Christians need to follow all the old rules?	What's most important about following Jesus?	Where do we add burdens God does not?	What freeing step will we take?
S315	Family	How do we know where God wants us?	How does God guide us?	Where do we need guidance right now?	What step will we take with the light we have?
S316	Family	Why did Christians argue with each other?	How do we handle fights in church?	Where do we need deeper learning or repentance?	What step will we take to grow?
S317	Family	Would we defend our faith if arrested?	How do we speak truth when scared?	Where could we speak truth under pressure?	What words will we prepare in prayer?
S318	Family	How would we explain our faith to a judge?	What makes a good witness?	Where do we need gentle, clear words now?	What respectful response will we give?
S319	Family	Would we trust God in a storm?	How do we help when everything's scary?	Where are we weathering a storm now?	What stabilizing step will we take?
S320	Family	Are people basically good or bad?	What's wrong with people?	Where do we see this around us now?	What honest step toward God will we take?
S321	Family	What's the difference between earning and getting a gift?	Why can't good works save us?	Where do we try to earn what God gives?	What trust step will we take today?
S322	Family	What's different when God's Spirit lives in us?	How does the Spirit help?	Where do we need the Spirit's help now?	What prayer will we pray each day this week?
S323	Family	Why did God keep loving Israel?	How does God's mercy work?	Where do we need humility in God's story?	What worship response will we bring?
S324	Family	What does a changed life look like?	How does love show up every day?	Where can we show this kind of love?	What act of love will we choose?
S325	Family	Which person mentioned sounds interesting?	What makes church family work?	Who helps us follow Jesus well now?	How will we thank or support them this week?
S326	Family	Which church problem sounds like ours?	What does real unity need?	Where do we need to lay aside pride today?	What step will we take to build unity?
S327	Family	How do we honor others in our family?	What boundaries keep love safe?	Where do we need wisdom in relationships now?	What boundary will we keep this week?
S328	Family	When should we limit our freedom for others?	How does love change our choices?	Where do we need self-control for someone's good?	What choice will we make out of love?
S329	Family	What makes church gatherings good?	How can we build others up?	Where can we build others up when we meet?	What encouraging word will we speak?
S330	Family	How does Jesus rising change everything?	Why does resurrection matter?	Where do we need a new perspective now?	What generous act will we plan?
S331	Family	How do we help when we feel weak?	What does serving through weakness look like?	Where do we need comfort to keep serving?	What step will we take depending on God?
S332	Family	What treasure do we carry in our clay jars?	How does grace change how we treat others?	Where do we need to forgive or reconcile?	What move toward grace will we make?
S333	Family	Which giving example amazes you?	What makes people give cheerfully?	Where can we share to meet a need now?	What gift will we prepare this week?
S334	Family	How can we tell good from bad spiritual leaders?	What warning signs should we watch?	Where do appearances mislead us today?	What test will we use before trusting a voice?
S335	Family	How did Paul become a Christian?	Why does grace matter more than earning?	Where do we rest in approval more than grace?	What truth will we hold this week?
S336	Family	What's most important about the good news?	What fruit should grow from faith?	Where do we want to see this fruit grow?	What step will we take to walk by the Spirit?
S337	Family	Which blessing in Jesus means most to us?	What does being God's children change?	Where do we forget our true identity?	What reminder will we carry this week?
S338	Family	Which old way needs to go?	What new way should we put on?	Where do we need new habits in speech or life?	What new
S339	Family	What makes us most worried?	How do joy and unity fight worry?	Where can we choose joy in our routine?	What habit will help us rejoice daily?
S340	Family	What would change if Jesus was boss of everything?	How does putting Jesus first look different?	Where are we pulled off center now?	What Christ-centered step will we take?
S341	Family	How do we stay faithful while waiting?	What does holy living look like while waiting?	Where do we need hope to keep going?	What step will help us stay awake to God?
S342	Family	Which rumor or confusion troubles us most?	What keeps us steady when others panic?	Where do rumors unsettle our faith now?	What grounding truth will we repeat?
S343	Family	Which instruction to Timothy speaks to us?	What example should young people set?	Where can we be faithful with small things?	What step will we take to serve steadily?
S344	Family	Which charge or comfort hits hardest?	What does finishing the race mean?	Where do we need endurance today?	What step will help us finish well?
S345	Family	How does grace teach us to live?	What good works come from being saved?	Where do we need grace to change habits?	What good work will we devote to this week?
S346	Family	Would we forgive someone who stole from us?	What does gospel reconciliation look like?	Where do we need to repair a relationship now?	What first step will we take?
S347	Family	Why is Jesus better than angels?	What happens when we don't listen to Him?	Where have we drifted from His voice?	What response of faith will we make today?
S348	Family	What kind of priest do we need?	How does Jesus' intercession help us?	Where do we need His help right now?	What prayer will we bring with confidence?
S349	Family	What makes the new covenant better?	How does Jesus' sacrifice change everything?	Where do we still carry guilt or shame?	What truth will we rest in this week?
S350	Family	Which hero of faith inspires us most?	What does running our race need?	What weight or sin slows us down?	What will we lay aside this week?
S351	Family	What's the biggest difference between old and new ways?	What practices of love are urged?	Where do we need peace and purity?	What step will we take today?
S352	Family	How do faith and works go together?	What role do words play in wisdom?	Where do we need to put faith into action?	What work of love will we do this week?
S353	Family	Which encouragement for hard times speaks to us?	What hope keeps believers strong?	Where do we need courage to do right?	What gentle answer will we give this week?
S354	Family	Which warning about false teaching concerns us?	How does God's patience give hope?	Where do we need diligence and hope together?	What step will help us grow in grace?
S355	Family	What tests help us know if something is true?	What does walking in the light look like?	Where do we need assurance or change now?	What step will we take toward the light?
S356	Family	What danger does John warn about?	How do we guard our hearts and home?	Where do we need to guard our home or heart?	What boundary will we set this week?
S357	Family	What problem does John talk about?	What does honest hospitality look like?	Who could we welcome or support this week?	What act of hospitality will we do?
S358	Family	What threats to faith are highlighted?	How do believers build themselves up?	Where do we need mercy and watchfulness now?	What step will help us contend well?
S359	Family	Which church's message speaks to us most?	What calls to repent or endure stand out?	Which message speaks most to us now?	What response will we make this week?
S360	Family	Which vision would we want to see?	What hope do the sealed get?	Where do we need endurance in trial now?	What prayer will keep us steady?
S361	Family	Which warning feels most urgent?	What response is God looking for?	Where do we need to turn from compromise?	What step of repentance will we take?
S362	Family	Which symbol of conflict or hope speaks to us?	What do they teach about staying faithful?	Where do we feel worn out in the fight?	What practice will renew our strength?
S363	Family	Which scene of judgment affects us most?	What do they show about God's justice?	Where do we long for final justice now?	What trust will we hold in the meantime?
S364	Family	What differences between Babylon and the Lamb stand out?	What warnings call people to come out?	Where are we drawn to Babylon-like habits?	What break will we make this week?
S365	Family	Which picture of the new creation moves us most?	What promises give hope for the future?	Where do we need this hope today?	What step will help us live as citizens of that city?
