School Questions				
				
				
segment code	question1	question2	question3	question4
S220	What choices lead toward the flight to Egypt?	What do they reveal about fear and trust?	Where do fear‑based choices tempt you?	What trust choice will you make this week?
S221	What judgments are announced on the nations?	What does this teach about God’s justice?	Where do you long to see justice today?	What prayer for justice will you offer?
S222	What further judgments are declared here?	What reasons are given for them?	Where do you see those same roots of harm?	What step will you take toward repair?
S223	What fate awaits Babylon in this section?	What does this say about pride and empire?	Where do you trust in power or image?	What humble action will you choose today?
S224	What final notes close Jeremiah’s book?	How does the ending confirm earlier warnings?	What lesson will you not forget from this book?	What practice will help you remember it?
S225	What images of grief struck you most?	What do they teach about sin and sorrow?	Where do you need to lament honestly?	What prayer of lament will you bring to God?
S226	What turns toward hope appear in these poems?	What is remembered about God’s mercy?	Where do you need hope to rise again?	What daily reminder of mercy will you keep?
S227	What parts of the vision stayed with you?	What does God’s glory communicate here?	How does awe change how you live?	What practice will help you live with awe?
S228	What symbolic actions does Ezekiel perform?	What message do they send to the people?	Where do you need a wake‑up call today?	What change will you make before the day ends?
S229	What reasons are given for God’s departure?	What does this teach about idolatry and presence?	Where do you crowd out God in daily life?	What will you remove to make room for God?
S230	What enacted signs of exile appear here?	What do they reveal about stubborn hearts?	Where do warnings fail to move you?	What step of humble listening will you take?
S231	What metaphors describe Israel’s unfaithfulness?	What do they show about covenant love?	Where do you treat love as disposable?	What faithful act will you choose this week?
S232	What images of judgment and lament stand out?	What balance of justice and mercy is shown?	Where do you need both truth and tenderness?	What wise blend will you practice this week?
S233	What history of rebellion is recalled?	What does this reveal about God’s patience?	Where are you repeating old mistakes?	What new path will you take starting today?
S234	What hard images are used to confront sin?	What do they say about betrayal and consequence?	Where do you see relational betrayal today?	What faithful repair can you begin this week?
S235	Which nations are addressed in this section?	What lessons are here for pride and cruelty?	Where must you resist contempt for others?	What respectful action will you take today?
S236	What judgments fall on Egypt and its pride?	What does this reveal about false strength?	Where do you rely on fragile supports?	What stronger trust will you practice this week?
S237	What is Ezekiel’s watchman role here?	What responsibility does he carry for warning?	Where should you speak up with care and truth?	What careful word will you share this week?
S238	What shepherd images describe God’s care?	What promises of renewal are given?	Where do you need that shepherding now?	What step will you take to receive His care?
S239	What visions of restoration appear here?	What do they reveal about God’s Spirit and future?	Where do you hope for new life to emerge?	What act of hope will you practice this week?
S240	What details of the measured temple stood out?	What do order and holiness communicate here?	Where do boundaries help you meet with God?	What boundary will you honor this week?
S241	What moment marks the return of glory?	What does this mean for worship and life?	Where do you sense God rebuilding your heart?	What response will you bring in worship this week?
S242	What roles and rhythms fill this vision?	What do sacred times teach about community life?	Which rhythm could shape your week well?	What time will you guard for God this week?
S243	What life‑giving images stood out to you?	What do they show about God’s presence among His people?	Where do you long to see healing flow?	What step will you take toward that healing?
S244	What pressures test Daniel and his friends?	What choices keep them faithful in Babylon?	Where do you need resolve in a difficult setting?	What faithful practice will you keep this week?
S245	What rescues and humblings are recorded here?	What do they reveal about God’s sovereignty?	Where do you need courage to stand firm?	What bold yet respectful step will you take?
S246	What warnings appear at the royal feast?	What does Daniel’s witness show under threat?	Where could integrity cost you something?	What choice will you make to stay faithful?
S247	What visions or themes stand out to you?	What do they teach about God’s final rule?	Where do you need endurance and hope?	What practice will help you endure this week?
S248	What insights are given about future conflicts?	What does this say about unseen spiritual struggle?	Where do you feel outmatched or anxious?	What prayer will you keep in those moments?
S249	What signs of steadfast love appear here?	What does unfaithfulness cost in this story?	Where do you return again to lesser loves?	What turn back to God will you make today?
S250	What calls to return run through this section?	What does God promise to the repentant?	Where do you need to come home to God?	What practical step will you take today?
S251	What images describe the Day of the Lord?	What responses are invited from the people?	Where do you need wholehearted return to God?	What act of repentance will you practice now?
S252	What injustices are called out here?	What does God require instead of empty worship?	Where can you do right for someone overlooked?	What just action will you take this week?
S253	What visions does Amos receive and share?	What hope remains after judgment in this book?	Where do you need both truth and hope today?	What step will you take to seek both together?
S254	What is Edom judged for in this book?	What warning is there about pride and gloating?	Where are you tempted to celebrate others’ falls?	What humble compassion will you show instead?
S255	What surprises you in Jonah’s story?	What does God’s mercy to Nineveh reveal?	Who is hard for you to show mercy to?	What merciful step will you take this week?
S256	What charges and hopes appear in Micah?	What does God require of His people?	Where can you do justice and love mercy now?	What humble step will you take this week?
S257	What laments and promises stand side by side?	What hope does Micah hold for the future?	Where do you need that kind of hope today?	What prayer of hope will you pray this week?
S258	What picture of God’s justice do you see?	What comfort is offered to the oppressed?	Where do you long for God to set things right?	What faithful trust will you practice today?
S259	What questions does Habakkuk bring to God?	What answers or tensions remain in this book?	Where will you choose faith when answers delay?	What practice will help you rejoice in waiting?
S260	What warnings and songs appear in this book?	What hope is offered to the humble who seek God?	Where do you need humility and courage together?	What seeking step will you take this week?
S261	What priorities does Haggai confront?	What promise does God give to rebuilders?	Where have you delayed good work you should do?	What first step will you take to rebuild?
S262	What visions encourage the returnees to build?	What do they say about God’s cleansing and power?	Where do you need fresh encouragement to serve?	What act of service will you do this week?
S263	What questions about fasting are addressed?	What kind of community does God promise?	Where can you practice truth and peace now?	What peacemaking choice will you make today?
S264	What do these chapters say about the coming King?	What images of salvation and mourning appear?	Where do you welcome Jesus’ gentle rule?	What allegiance step will you take this week?
S265	What questions does God raise with His people?	What issues of worship and justice are corrected?	Where do you need a fresh heart in worship?	What change will you make before next week?
S266	What beginnings of the kingdom do you see?	What does Jesus announce and invite people into?	Where do you need to repent and follow Him?	What first step of obedience will you take?
S267	What teachings from the Sermon struck you most?	What picture of righteousness does Jesus give?	Where do you need to live this at school?	What practice will you start this week?
S268	What signs and responses mark Jesus’ ministry here?	What do you learn about faith and authority?	Where do you need to trust Jesus’ authority now?	What act of trust will you take this week?
S269	What questions and parables stand out to you?	What do they reveal about the kingdom’s growth?	Where do you see small beginnings with big potential?	What faithful seed will you plant this week?
S270	What conflicts and confessions appear in this section?	What do you learn about faith and opposition?	Where is it hard to follow Jesus right now?	What step will you take to follow anyway?
S271	What values or practices does Jesus teach here?	What do these teach about forgiveness and humility?	Where do you need these values in school life?	What step will you take to practice them?
S272	What scenes or encounters stood out to you?	What do they show about cost and priorities?	Where is Jesus asking you to trust Him?	What step of obedience will you take?
S273	What responses to Jesus appear in this passage?	What does this reveal about His authority?	Where will you welcome His authority this week?	What act of honor will you offer Him?
S274	What warnings and hopes stood out to you?	What do they teach about readiness and faithfulness?	Where do you feel unprepared or distracted?	What watchful habit will you begin?
S275	What moments moved you most in this reading?	What do they show about love and betrayal?	Where is it hard to stay loyal to Jesus?	What loyal step will you take today?
S276	What details about death and resurrection stood out?	What does this mean for hope and mission?	Where do you need resurrection hope now?	What witness will you share this week?
S277	What first actions mark Jesus’ ministry here?	What do they show about the gospel’s power?	Where do you need good news today?	What response will you make now?
S278	What kinds of needs does Jesus meet here?	What does this model about serving others?	Who near you needs quiet help?	What act of service will you do this week?
S279	What tensions arise as Jesus serves people?	What do you learn about power and humility?	Where can you serve when it costs?	What humble step will you take?
S280	What confessions or misunderstandings appear here?	What does Jesus teach about following Him?	Where do you resist the way of the cross?	What surrender will you offer this week?
S281	What teachings challenge ambition in this section?	What does true greatness look like here?	Where could you take a lower place?	What serving choice will you make?
S282	What questions or traps are raised for Jesus?	How does He answer with wisdom and truth?	Where do you need wise words under pressure?	What practice will help you answer well?
S283	What failures and faithfulness do you notice here?	What does this show about weakness and prayer?	Where are you vulnerable to fear or denial?	What guard of prayer will you keep?
S284	What scenes of injustice and victory stood out?	What does the cross and empty tomb mean?	Where do you need courage because He lives?	What step of bold faith will you take?
S285	What surprises fill these birth stories?	What do they show about timing and grace?	Where do you need to trust God’s timing?	What small act of faith will you take?
S286	What preparations or tests appear in this reading?	What do you learn about identity and mission?	Where is God preparing you quietly now?	What practice will ready your heart?
S287	What calls and healings stood out to you?	What do they show about following daily?	Where might Jesus be calling you to leave something?	What step will you take to follow?
S288	What links do you see between faith and healing?	What does Jesus notice in those who come?	Where will you reach out in faith this week?	What prayer will you bring to Jesus?
S289	What milestones close this phase of ministry?	What does Jesus expect of His disciples now?	Where can you put learning into practice?	What action will you take this week?
S290	What choices show Jesus’ resolve here?	What does discipleship cost look like now?	Where do you need focused resolve today?	What distraction will you lay down?
S291	What teachings challenge comfort or fear here?	What do they say about trust and priorities?	Where do priorities need rearranging?	What first change will you make?
S292	Which parable or healing stayed with you?	What truth about the kingdom did you notice?	Where do you see that truth at school?	What small act will live it out?
S293	What habits of faith does Jesus commend?	What obstacles does He warn about here?	Which habit do you need most now?	What step will you take to grow it?
S294	What do you notice about mercy and justice?	What does Jesus look for in hearts here?	Where do you need a fresh heart today?	What prayer will you make this week?
S295	What responses to Jesus appear in this chapter?	What does His authority challenge in people?	Where is Jesus challenging your comfort?	What obedient step will you take?
S296	What warnings and prayers were missed here?	What do you learn about weakness and grace?	Where do you need watchfulness in temptation?	What watch will you keep this week?
S297	What moves you most in this account?	What does the resurrection call you to?	Where will you live differently because He rose?	What witness will you share soon?
S298	What titles and images describe Jesus here?	What responses do first disciples make?	Where do you need to “come and see” again?	What step will you take toward Jesus?
S299	What signs and conversations stood out here?	What do they reveal about new life in Jesus?	Where do you need transformation today?	What request will you bring to Him?
S300	What patterns connect these signs together?	What do they say about hunger, fear, and faith?	Where are you hungry or afraid now?	What trust step will you take?
S301	What debates or claims about Jesus arise?	What does Jesus reveal about Himself here?	Where do you need to take a stand on Jesus?	What confession will you make this week?
S302	What changes in the healed person’s life?	What do leaders’ reactions reveal in this story?	Where do you fear others’ opinions now?	What faithful choice will you make anyway?
S303	What emotions surround this sign and story?	What does Jesus show about life and death?	Where do you need His comfort or power?	What prayer will you ask Him to answer?
S304	What act of service stands out to you?	What does Jesus teach about love and identity?	Where can you serve without being noticed?	What simple act will you do this week?
S305	What images of abiding and unity speak here?	What does fruitfulness look like in this passage?	Where do you need to remain in Jesus this week?	What practice will help you abide?
S306	What injustices and fulfillments appear here?	What does Jesus’ sacrifice mean for you?	Where do you need to rest in His finished work?	What response of gratitude will you offer?
S307	What proofs and encounters are recorded here?	What mission does Jesus give His followers?	Where can you be a witness this week?	What next step will you take today?
S308	What happens when the Spirit comes here?	What does this mean for fear and boldness?	Where do you need Spirit‑given courage now?	What prayer will you pray for power?
S309	What tensions rise as the church grows?	How do believers respond under pressure here?	Where do you need courage to obey God?	What bold step will you take this week?
S310	What ministries multiply in this section?	What do you learn from Stephen’s witness?	Where can you serve despite opposition?	What steady act will you continue?
S311	What changes in Saul’s life and direction?	What does this show about grace and calling?	Where could God be turning you around?	What step will you take in that new direction?
S312	What barriers are crossed in this story?	What does God show about inclusion here?	Who is outside your usual circle now?	What welcome step will you take?
S313	What patterns of preaching and response appear?	What keeps the team focused amid pushback?	Where do you need endurance in serving?	What practice will help you keep going?
S314	What problem does the church resolve here?	What does the decision say about grace?	Where do you add burdens God does not?	What freeing step will you take?
S315	What new doors and detours show up here?	What does guidance look like on the move?	Where do you need guidance right now?	What step will you take with the light you have?
S316	What growth and conflicts mark this journey?	What do you notice about teaching and change?	Where do you need deeper teaching or repentance?	What step will you take to grow?
S317	What events lead to Paul’s arrest here?	What does courage look like in his defense?	Where could you speak truth under pressure?	What words will you prepare in prayer?
S318	What hearings and appeals occur here?	What does Paul model in witness and reason?	Where do you need gentle, clear words now?	What respectful response will you give?
S319	What crises and rescues happen on the way?	What does leadership look like in the storm?	Where is your group weathering a storm?	What stabilizing step will you take?
S320	What problem with sin is described here?	What does this mean for every person?	Where do you see this in your world now?	What honest step toward God will you take?
S321	What good news is announced in these verses?	What does faith do that law cannot?	Where do you try to earn what God gives?	What trust step will you take today?
S322	What changes when we live by the Spirit?	What hope is given for our struggle here?	Where do you need the Spirit’s help now?	What prayer will you pray each day this week?
S323	What story of mercy unfolds in these chapters?	What does this say about God’s plan and people?	Where do you need humility in God’s story?	What worship response will you bring?
S324	What marks a transformed life in this text?	What does love look like in practice here?	Where can you offer this kind of love at school?	What act of love will you choose?
S325	What relationships and teamwork do you notice here?	What do these greetings reveal about the church?	Who helps you follow Jesus faithfully now?	How will you thank or support them this week?
S326	What problems are addressed in this church?	What does true unity rest on here?	Where do you need to lay aside pride today?	What step will build unity this week?
S327	What guidance is offered for purity here?	What principles stand out for honor and care?	Where do you need wisdom in relationships now?	What boundary will you keep this week?
S328	What does Paul teach about freedom and love?	How should freedom be used with others?	Where do you need self‑control for someone’s good?	What choice will you make out of love?
S329	What do you learn about love and worship here?	What order and purpose guide the church?	Where can you build up others when you meet?	What encouraging word will you speak?
S330	What hope does the resurrection secure here?	How does that shape work and giving?	Where do you need resurrection perspective now?	What generous act will you plan?
S331	What hardships and comforts are named here?	What does ministry look like through weakness?	Where do you need comfort to keep serving?	What step will you take in dependence on God?
S332	What treasures in jars of clay do you see?	What does grace change in relationships?	Where do you need to forgive or reconcile?	What move toward grace will you make?
S333	What examples of giving stand out here?	What principles guide cheerful giving?	Where can you share to meet a need now?	What gift will you prepare this week?
S334	What marks distinguish true from false servants?	What warnings does Paul give the church?	Where do appearances mislead you today?	What test will you use before trusting a voice?
S335	What story does Paul tell of his calling?	What does this show about grace versus earning?	Where do you rest in approval more than grace?	What truth will you hold to this week?
S336	What is the core of the gospel here?	What fruit should follow faith in Christ?	Where do you want to see this fruit grow?	What step will you take to walk by the Spirit?
S337	What blessings in Christ are listed here?	What does adoption into God’s family mean?	Where do you forget your true identity now?	What reminder will you carry this week?
S338	What practices mark a healthy church family?	What old ways must be put off here?	Where do you need renewal in speech or habits?	What new way will you put on this week?
S339	What themes of joy and unity appear here?	What practices fight anxiety and division?	Where can you choose joy in your routine?	What habit will help you rejoice daily?
S340	What does Paul say about Jesus’ supremacy?	What changes when Christ is our center?	Where are you pulled off center now?	What Christ‑centered step will you take?
S341	What hopes and commands shape waiting here?	What does holy living look like in this text?	Where do you need hope for perseverance?	What step will help you stay awake spiritually?
S342	What confusions about the return are corrected?	What steadiness does Paul call for here?	Where do rumors unsettle your faith now?	What grounding truth will you repeat?
S343	What instructions does Paul give Timothy here?	What example should leaders set now?	Where can you be faithful with small things?	What step will you take to serve steadily?
S344	What charges and comforts stand out here?	What does finishing the race involve?	Where do you need endurance in hardship today?	What step will help you finish well?
S345	What truths about salvation are emphasized here?	What does grace train us to do now?	Where do you need grace to change habits?	What good work will you devote to this week?
S346	What requests does Paul make to Philemon?	What does gospel reconciliation look like here?	Where do you need to repair a relationship now?	What first step will you take?
S347	What comparisons elevate Jesus in this section?	What warnings urge us to listen to Him?	Where have you drifted from His voice now?	What response of faith will you make today?
S348	What kind of priest is Jesus shown to be?	What hope comes from His intercession here?	Where do you need His help right now?	What prayer will you bring with confidence?
S349	What makes the new covenant better here?	What does Christ’s sacrifice accomplish?	Where do you still carry guilt or shame?	What truth will you rest in this week?
S350	What examples of faith inspire you here?	What does running the race require now?	What weight or sin slows you down?	What will you lay aside this week?
S351	What contrasts mark the old and new way?	What practices of love and holiness are urged?	Where do you need to pursue peace and purity?	What step will you take today?
S352	What links between faith and works appear here?	What do you learn about speech and wisdom?	Where do you need to put faith into action?	What work of love will you do this week?
S353	What encouragements for suffering do you see here?	What picture of hope anchors believers?	Where do you need courage to do right now?	What gentle answer will you give this week?
S354	What warnings about false teaching are given?	What hope points to the Lord’s patience?	Where do you need diligence and hope together?	What step will help you grow in grace?
S355	What tests of truth and love are given here?	What does walking in the light look like?	Where do you need assurance or repentance now?	What step will you take toward the light?
S356	What danger does John warn about here?	What does faithful love look like now?	Where do you need to guard your home or heart?	What boundary will you set this week?
S357	What problem does John address in this letter?	What does hospitality look like in truth?	Who could you welcome or support this week?	What act of hospitality will you do?
S358	What threats to the faith are highlighted here?	What must believers build themselves up in?	Where do you need mercy and vigilance now?	What step will help you contend well?
S359	What strengths and weaknesses are named here?	What calls to repent or endure stand out?	Which message speaks most to you now?	What response will you make this week?
S360	What visions and cries do you notice here?	What hope do the sealed receive?	Where do you need endurance in trial now?	What prayer will keep you steady?
S361	What warnings and judgments unfold here?	What response is God seeking from people?	Where do you need to turn from compromise?	What step of repentance will you take?
S362	What symbols of conflict and hope appear here?	What do they teach about faithful endurance?	Where do you feel worn out in the fight?	What practice will renew your strength?
S363	What scenes of judgment fill this reading?	What do they reveal about God’s justice here?	Where do you long for final justice now?	What trust will you hold in the meantime?
S364	What contrasts appear between Babylon and the Lamb?	What warnings and calls to come out are given?	Where are you drawn to Babylon‑like habits?	What break will you make this week?
S365	What images of the new creation move you?	What promises anchor hope for the future?	Where do you need this hope today?	What step will help you live as a citizen of that city?
