Segment	Q1	Q2	Q3	Q4
S236	What ‘I will be your God, you will be my people’ moment appeared?	What does belonging to God mean for our family?	Where can we live differently because we belong to Him?	What belonging-practice will we keep?
S237	What tension between judgment and mercy did you notice?	How do both reveal God’s love?	Where do we need both truth and grace?	What balanced response will we choose this time?
S238	What call to seek God with all your heart stood out?	What does wholehearted seeking look like for us?	Where have we been half-hearted?	What wholehearted step will we take?
S239	What reassurance of God’s presence in exile encouraged you?	How does God stay with people far from home?	Where do we feel out of place?	What reminder will help us rest in His presence?
S240	What decision to stay faithful stood out?	What does this teach about courage and conviction?	Where might we face pressure to blend in?	What line will we draw kindly and firmly?
S241	What test or trial became a witness?	How does faithful living point others to God?	Where could our habits be a quiet witness?	What habit will we keep even when it’s hard?
S242	What vision or dream challenged you?	What does it show about God’s rule over history?	Where do we feel small in a big world?	What truth will steady our hearts?
S243	What example of prayer or discipline did you notice?	What helps a person pray consistently?	When can we set time to pray together?	What prayer rhythm will we try?
S244	What story of rescue (fire, lions, etc.) encouraged you?	What do we learn about God’s nearness in danger?	Where do we need courage today?	What short prayer will we say when afraid?
S245	What kingdom rises and falls in the vision?	What does it teach about God’s everlasting kingdom?	Where do we need to remember who is truly in charge?	What phrase will we repeat to trust God’s reign?
S246	What humility lesson (proud king humbled) stood out?	What do we learn about pride and repentance?	Where do we need humility at home?	What humble action will we take today?
S247	What prophecy stirred hope for the future?	How does hope change how we live now?	Where can our family live with hopeful courage?	What hope-filled step will we take?
S248	What conflict between loyalty to God and cultural pressure appeared?	What keeps loyalty strong under pressure?	Where are we tempted to compromise?	What boundary will we keep with grace?
S249	What final assurance or blessing closes the vision?	What does it teach about God’s faithfulness to the end?	Where do we need endurance and calm trust?	What phrase will we carry into this week?
S250	What picture or phrase from the prophet stood out?	What does it reveal about God’s justice and mercy?	Where do we see unfairness or need in our world or home?	What simple act of justice or kindness will we practice?
S251	What message of love or warning stood out?	What does this show about God’s faithful love?	Where do we need to return to love and faithfulness?	What act of kindness will we choose this week?
S252	What image of unfaithfulness or forgiveness appears?	What does this reveal about God’s mercy?	Where can we show forgiveness at home?	What gentle response will we practice?
S253	What call to repentance touched your heart?	What do we learn about turning back to God?	Where do we need to admit wrong and change?	What will we do to start fresh?
S254	What image of restoration encouraged you?	What does God promise to rebuild or renew?	Where do we need restoration in relationships?	What step toward peace can we take?
S255	What contrast between judgment and mercy stood out?	What do we learn about God’s justice and compassion?	Where do we need both truth and grace?	What balance will we live out this week?
S256	What picture of hope or future blessing did you notice?	How does hope grow even in hard times?	Where do we see small signs of hope now?	What will we thank God for in hope?
S257	What injustice or corruption did the prophet confront?	What do we learn about honesty and integrity?	Where do we need to make things right?	What step of fairness will we take?
S258	What invitation to return appears?	How does God show patience toward His people?	Where have we wandered or lost focus?	What step will we take to return to Him?
S259	What vision of coming salvation encouraged you?	What does it tell us about God’s heart to rescue?	Where do we need saving help now?	What prayer will we say for God’s help?
S260	What truth about humility or obedience stood out?	What does God value more than outward actions?	Where can we obey quietly and sincerely?	What humble habit will we grow this week?
S261	What moment in Jesus’ teaching stood out?	What do we learn about living in God’s kingdom?	Where can we live these values at home?	What kingdom habit will we start?
S262	What miracle or healing amazed you?	What does this reveal about Jesus’ compassion?	Where can we show compassion like Him?	What caring action will we take?
S263	What challenge or call from Jesus feels personal?	What does following Him look like in family life?	Where do we need courage to obey?	What brave step will we take this week?
S264	What parable did Jesus tell, and what truth does it teach?	What does it show about God’s heart?	Where can we put this truth into practice?	What lesson will we apply together?
S265	What example of forgiveness or mercy did Jesus model?	What does it reveal about God’s grace?	Where do we need to forgive someone?	What forgiving action will we take?
S266	What question or reaction from the disciples caught your eye?	What does it teach about learning to follow?	Where do we have questions or doubts too?	What prayer will help us keep trusting?
S267	What promise of blessing or peace encouraged you?	What does it teach about the heart God blesses?	Where can we bring peace in our world?	What peacemaking step will we take?
S268	What moment of sacrifice or generosity stood out?	What do we learn about giving and trust?	Where can we be generous this week?	What will we share joyfully?
S269	What example of Jesus’ prayer or solitude inspired you?	What do we learn about quiet time with God?	Where can we find space to pray together?	When will we set that time this week?
S270	What story of faith impressed you?	What do we learn about believing without seeing?	Where do we need to trust God right now?	What faith action will we take together?
S271	What word or teaching about love stood out?	What does true love look like according to Jesus?	Where can we show that love today?	What loving act will we practice this week?
S272	What moment of compassion for outsiders touched you?	What does that teach about kindness and welcome?	Where can we include someone who feels left out?	What welcoming gesture will we make?
S273	What story of service or humility did Jesus teach?	What does greatness mean in God’s eyes?	Where can we serve each other with humility?	What service will we offer this week?
S274	What event of healing or deliverance brought hope?	What does it show about God’s power and care?	Where do we need healing in heart or relationships?	What prayer of hope will we pray together?
S275	What words about faith or fear spoke to you?	What does trusting God look like in storms of life?	Where do we feel anxious or afraid?	What will we say to remind us to trust God?
S276	What action of Jesus shows His servant heart?	What do we learn about leading by serving?	Where can we put others first this week?	What servant action will we take?
S277	What story reveals Jesus’ compassion for people?	How did He notice and care for needs?	Who can we notice and care for this week?	What caring act will we do together?
S278	What teaching or question made people think deeply?	What truth do we need to think about more?	Where can we listen before responding?	What thoughtful action will we take?
S279	What moment of forgiveness or restoration stood out?	What does that reveal about second chances?	Where can we offer grace in our family?	What action will bring reconciliation?
S280	What story of faithfulness under pressure inspired you?	What does perseverance look like?	Where do we need to stay faithful today?	What habit will help us endure?
S281	What parable or example of generosity stood out?	What does it show about trusting God with resources?	Where can we be openhanded?	What will we give or share this week?
S282	What story of joy or celebration caught your heart?	What makes heaven rejoice?	Where can we celebrate God’s goodness?	What joy moment will we plan together?
S283	What challenge or rebuke of hypocrisy appeared?	What does Jesus care about more than appearance?	Where can we live more honestly and sincerely?	What change will we make to be real?
S284	What lesson about humility or leadership did you notice?	What does it mean to lead by example?	Where can we show humble leadership at home?	What example will we set this week?
S285	What moment of courage before the cross spoke to you?	What does it show about love that gives everything?	Where can we show sacrificial love?	What selfless act will we do this week?
S286	What message of love or warning stood out?	What does this show about God’s faithful love?	Where do we need to return to love and faithfulness?	What act of kindness will we choose this week?
S287	What image of unfaithfulness or forgiveness appears?	What does this reveal about God’s mercy?	Where can we show forgiveness at home?	What gentle response will we practice?
S288	What call to repentance touched your heart?	What do we learn about turning back to God?	Where do we need to admit wrong and change?	What will we do to start fresh?
S289	What image of restoration encouraged you?	What does God promise to rebuild or renew?	Where do we need restoration in relationships?	What step toward peace can we take?
S290	What contrast between judgment and mercy stood out?	What do we learn about God’s justice and compassion?	Where do we need both truth and grace?	What balance will we live out this week?
S291	What picture of hope or future blessing did you notice?	How does hope grow even in hard times?	Where do we see small signs of hope now?	What will we thank God for in hope?
S292	What injustice or corruption did the prophet confront?	What do we learn about honesty and integrity?	Where do we need to make things right?	What step of fairness will we take?
S293	What invitation to return appears?	How does God show patience toward His people?	Where have we wandered or lost focus?	What step will we take to return to Him?
S294	What vision of coming salvation encouraged you?	What does it tell us about God’s heart to rescue?	Where do we need saving help now?	What prayer will we say for God’s help?
S295	What truth about humility or obedience stood out?	What does God value more than outward actions?	Where can we obey quietly and sincerely?	What humble habit will we grow this week?
S296	Which moment moment in Jesus’ teaching stood out?	What do we learn about living in God’s kingdom?	Where can we live these values at home?	What kingdom habit will we start?
S297	What miracle or healing amazed you?	What does this reveal about Jesus’ compassion?	Where can we show compassion like Him?	What caring action will we take?
S298	Which moment challenge or call from Jesus’ story feels personal?	What does following Him look like in family life?	Where do we need courage to obey?	What brave step will we take this week?
S299	Which moment parable did Jesus’ story tell, and what truth does it teach?	What does it show about God’s heart through this story?	Where can we put this truth into practice?	What lesson will we apply together?
S300	Which moment example of forgiveness or mercy did Jesus’ story model?	What does it reveal about God’s grace?	Where do we need to forgive someone?	What forgiving action will we take?
S301	Which moment part of Jesus’ story or teaching stood out?	What does this show about His heart for people through this story?	Where can we love like Jesus this week?	What caring action will we take together?
S302	What miracle or act of compassion amazed you?	What do we learn about God’s power and kindness?	Where do we see needs around us?	What small way can we help or pray?
S303	What moment of forgiveness or mercy touched you?	What does this reveal about grace?	Where can we forgive or show mercy at home?	What forgiving step will we take?
S304	Which moment challenge or call from Jesus’ story felt personal?	What does following Him look like for us?	Where do we need courage to obey?	What brave step will we take this week?
S305	What story of sacrifice or love moved you?	What does it reveal about God’s love for the world?	Where can we show sacrificial love?	What selfless act will we choose?
S306	Which moment word or promise from Jesus’ story gives you hope?	What do we learn about trust and peace?	Where do we need peace right now?	What prayer will help us rest in God’s care?
S307	Which moment part of Jesus’ story’ death or resurrection impacted you most?	What does it mean that He conquered death?	Where do we need renewed hope?	What will we say to thank Him?
S308	Which moment meeting with the risen Jesus’ story caught your attention?	How did His followers respond to His presence?	Where can we recognize Jesus in everyday life?	What will help us remember He’s with us?
S309	Which moment message of forgiveness or purpose did Jesus’ story give after rising?	What does this reveal about new beginnings?	Where do we need a new start?	What action marks our fresh start?
S310	What promise of the Holy Spirit encouraged you?	What does the Spirit do in believers’ lives?	Where do we need strength or guidance?	What prayer will we pray for the Spirit’s help?
S311	What story from Acts inspired you?	What does it show about courage and teamwork through this story?	Where can we serve God together as a family?	What shared mission will we take on?
S312	What miracle or conversion amazed you?	What do we learn about God’s power to change lives?	Where do we long for transformation?	What prayer will we pray for renewal?
S313	What act of generosity or community stood out?	What does this reveal about the early church?	Where can we share or care for others?	What generous act will we plan this week?
S314	What challenge or opposition did believers face?	What does it teach about perseverance and faith through this story?	Where do we face pressure or difficulty?	What truth will help us stand firm?
S315	What teaching from Paul spoke to you?	What does it show about living for Christ through this story?	Where can we grow in character or attitude?	What habit will help us mature in faith?
S316	What image or metaphor (body, race, armor, etc.) stood out?	What does it teach about unity and strength through this story?	Where do we need teamwork in our home?	What practice will help us stay united?
S317	What encouragement about grace or joy uplifted you?	What does it reveal about God’s kindness?	Where can we show joy even in challenge?	What joy habit will we practice?
S318	What instruction about relationships was practical?	What do we learn about love, humility, or patience?	Where can we apply that in family life?	What change will we make this week?
S319	What example of prayer or thanksgiving encouraged you?	What does it show about gratitude through this story?	Where can we thank God more often?	What daily gratitude will we share?
S320	What story or phrase about hope strengthened you?	What does hope do for believers?	Where do we need to keep trusting God?	What hopeful action will we take?
S321	What moment of unity or disagreement stood out?	What does it teach about grace in relationships through this story?	Where can we work toward peace?	What peacemaking step will we take?
S322	What letter encouraged endurance in hard times?	What keeps faith steady through trials?	Where do we need to endure patiently?	What reminder will keep us strong?
S323	What message about faith and works challenged you?	What balance does God want between belief and action?	Where can we live our faith practically?	What faith-in-action step will we take?
S324	What truth about love and humility stood out?	What does love in action look like?	Where can we practice humility and kindness?	What loving action will we do this week?
S325	What lesson about giving or serving inspired you?	What does cheerful giving reveal about faith?	Where can we serve joyfully?	What service will we plan this week?
S326	What truth about perseverance or faith encouraged you?	What does it mean to keep running the race?	Where do we need endurance right now?	What reminder will keep us moving forward?
S327	Which moment picture of Jesus’ story as priest or shepherd helped you?	What does it show about His care and intercession through this story?	Where do we feel weak or lost?	What prayer will remind us of His care?
S328	What call to holiness or faithfulness challenged you?	What does living holy mean for everyday life?	Where do we need to make better choices?	What small change will show our faith?
S329	Which moment encouragement to fix our eyes on Jesus’ story spoke to you?	What helps us stay focused on Him?	Where do we get distracted easily?	What will we do to refocus this week?
S330	What vision or image in Revelation stood out?	What does it tell us about God’s power and victory?	Where do we need to remember that God wins?	What phrase will we hold onto in hope?
S331	What symbol of worship or praise inspired you?	What does it show about heaven’s joy and honor?	Where can we worship with more awe?	What song or prayer will we share tonight?
S332	What promise for believers gave you hope?	What does it reveal about God’s faithfulness?	Where do we need to trust that promise?	What will we say or do to keep hope alive?
S333	What warning or challenge in Revelation made you think?	What response does God desire from His people?	Where do we need to stay faithful and alert?	What daily step will keep us strong?
S334	What description of the new heaven and earth inspired you?	What does it teach about God’s plan to renew all things?	Where do we see glimpses of renewal now?	What thankful prayer will we say?
S335	What final blessing or vision of eternity moved you?	What hope does it give for the future?	Where can we live today with eternity in view?	What prayer of hope will we share together?
S336	What part of Jesus’ story or teaching stood out?	What does this show about His heart for people?	Where can we love like Jesus this week?	What caring action will we take together?
S337	What miracle or act of compassion amazed you?	What do we learn about God’s power and kindness?	Where do we see needs around us?	What small way can we help or pray?
S338	What moment of forgiveness or mercy touched you?	What does this reveal about grace?	Where can we forgive or show mercy at home?	What forgiving step will we take?
S339	What challenge or call from Jesus felt personal?	What does following Him look like for us?	Where do we need courage to obey?	What brave step will we take this week?
S340	What story of sacrifice or love moved you?	What does it reveal about God’s love for the world?	Where can we show sacrificial love?	What selfless act will we choose?
S341	What word or promise from Jesus gives you hope?	What do we learn about trust and peace?	Where do we need peace right now?	What prayer will help us rest in God’s care?
S342	What part of Jesus’ death or resurrection impacted you most?	What does it mean that He conquered death?	Where do we need renewed hope?	What will we say to thank Him?
S343	What meeting with the risen Jesus caught your attention?	How did His followers respond to His presence?	Where can we recognize Jesus in everyday life?	What will help us remember He’s with us?
S344	What message of forgiveness or purpose did Jesus give after rising?	What does this reveal about new beginnings?	Where do we need a new start?	What action marks our fresh start?
S345	What promise of the Holy Spirit encouraged you?	What does the Spirit do in believers’ lives?	Where do we need strength or guidance?	What prayer will we pray for the Spirit’s help?
S346	What story from Acts inspired you?	What does it show about courage and teamwork?	Where can we serve God together as a family?	What shared mission will we take on?
S347	What miracle or conversion amazed you?	What do we learn about God’s power to change lives?	Where do we long for transformation?	What prayer will we pray for renewal?
S348	What act of generosity or community stood out?	What does this reveal about the early church?	Where can we share or care for others?	What generous act will we plan this week?
S349	What challenge or opposition did believers face?	What does it teach about perseverance and faith?	Where do we face pressure or difficulty?	What truth will help us stand firm?
S350	What teaching from Paul spoke to you?	What does it show about living for Christ?	Where can we grow in character or attitude?	What habit will help us mature in faith?
S351	What vision or promise of hope stood out?	What does it reveal about God’s victory?	Where do we see signs of hope in our lives?	What will we thank God for today?
S352	What challenge or warning did you notice?	What does this teach about staying faithful?	Where can we stand firm in our faith?	What choice will help us stay strong?
S353	What image of worship or praise inspired you?	What do we learn about heaven’s celebration?	Where can we bring that same joy now?	What will we say or sing to praise God?
S354	What contrast between good and evil stood out?	What does this show about God’s justice?	Where can we choose light instead of darkness?	What good action will we take today?
S355	What encouragement to persevere spoke to you?	What helps believers keep going through trials?	Where do we need endurance as a family?	What habit will help us stay faithful?
S356	What scene of God’s throne or presence moved you?	What do we learn about God’s holiness and power?	Where can we honor God’s greatness?	What worship habit will we continue?
S357	What description of heaven or peace stood out?	What does it reveal about God’s plan to restore all things?	Where do we see glimpses of renewal?	What will we do to bring peace today?
S358	What promise of eternal life brings comfort?	What does it show about God’s care for His people?	Where do we need to remember this promise?	What hopeful prayer will we share?
S359	What picture of the new creation inspired you?	What does it teach about God’s desire to make all things new?	Where do we see renewal around us?	What simple way will we join in renewal?
S360	What truth about God’s faithfulness remains clear?	How does it shape the way we live now?	Where can we be faithful in small things?	What commitment will we keep this week?
S361	What symbol of victory or joy do you notice?	What does it reveal about Jesus’ triumph?	Where do we celebrate His victory in our lives?	What thankful words will we share?
S362	What message about worship or adoration stands out?	What does true worship look like?	Where can we worship sincerely this week?	What song or prayer will we offer together?
S363	What final warning or invitation from Jesus touched you?	What does this show about God’s patience and love?	Where is He inviting us to return or trust?	What response will we make today?
S364	What description of the New Jerusalem moved you?	What does it tell us about living with God forever?	Where do we sense His presence even now?	What will we say to thank Him?
S365	What final blessing or closing word encouraged you?	What does it remind us about grace and peace?	Where can we speak blessing to others?	What blessing will we pray together?
